,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,63,0,0,0,14,0,0,0,0,0,0,53,0,2,0,4,0,0,0,118,0,0,0,0,0,46,0,0,0
B,0,128,18,0,7,5,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,64,0,0,0,0,14,0,0
C,0,0,236,0,5,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,11,33
D,0,0,93,58,21,64,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,3,0
E,0,0,2,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,74,0,0,0
F,0,62,0,0,0,163,0,0,0,66,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,137,37,0,31,0,0,0,0,0,0,0,2,2,15,0,1,0,0,19,27,0,29,0
H,0,0,0,2,0,0,0,261,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,9,0,0,12,0
I,0,0,0,0,0,0,0,0,47,0,0,3,0,0,0,0,25,1,0,0,0,0,0,0,224,0,0,0,0
J,0,0,0,0,0,0,0,0,63,16,0,0,0,0,0,0,0,2,0,0,0,0,0,0,160,59,0,0,0
K,0,0,0,0,0,0,0,0,0,0,165,4,0,0,0,0,0,19,0,0,0,0,0,0,112,0,0,0,0
L,0,46,0,0,0,0,0,0,0,4,0,131,0,0,0,0,0,10,0,0,0,0,0,0,42,67,0,0,0
M,0,0,0,0,0,0,0,0,2,0,10,0,188,52,0,0,0,0,1,0,0,0,0,0,45,2,0,0,0
N,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,83,0,0,0,3,0,0,0,0,0
O,0,0,0,0,2,0,17,0,0,0,0,27,0,4,96,0,0,0,1,21,0,0,0,0,69,12,0,51,0
P,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,262,0,0,0,0,0,0,0,0,0,0,22,0,0
Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,3,25,0,13,0,56,0,0,0
R,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,50,1,0,56,109,20,0,15,43,0,0,1
S,37,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,156,35,0,0,0,16,0,0,0,0,0
T,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,65,156,0,0,4,3,0,0,0,9,33
U,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,216,10,0,0,0,0,0,0,64
V,0,0,0,0,0,6,0,0,0,28,0,0,0,0,0,0,0,0,0,3,0,136,127,0,0,0,0,0,0
W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0
X,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,65,0,0,0,0,209,0,1,0,0,0
Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0
Z,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,7,27,1,0,13,221,0,0,0
SCH,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0
CH,0,0,0,7,0,12,0,23,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,52,0,0,0,197,0
NOTHING,0,1,0,0,1,0,0,0,0,6,0,0,0,0,0,1,2,7,0,0,0,0,0,2,0,6,0,0,274
