,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,64,0,0,0,13,0,0,0,0,0,0,48,0,4,0,3,0,0,0,120,0,0,0,0,0,48,0,0,0
B,0,145,8,0,4,0,0,0,0,0,0,0,2,0,0,0,0,64,0,0,0,68,0,0,0,0,9,0,0
C,0,0,223,0,1,0,0,0,0,0,4,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,20,27
D,0,0,79,79,13,61,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,9,0
E,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,79,0,0,0
F,0,81,0,0,0,157,0,0,1,51,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,133,39,0,29,0,0,0,0,0,0,0,1,2,17,0,3,0,0,12,32,0,32,0
H,0,0,0,8,0,0,0,263,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,13,0
I,0,0,0,0,0,0,0,0,45,0,0,7,0,0,0,0,14,9,0,0,0,0,0,0,225,0,0,0,0
J,0,0,0,0,0,0,0,0,59,11,0,0,0,0,0,0,0,5,0,0,0,0,0,0,159,66,0,0,0
K,0,0,0,0,0,0,0,0,0,0,182,5,0,0,0,0,0,20,0,0,0,0,0,0,93,0,0,0,0
L,0,50,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,14,0,0,0,0,0,0,30,72,0,0,0
M,0,0,0,0,0,0,0,0,0,0,10,0,192,55,0,0,0,0,2,0,0,0,0,0,39,2,0,0,0
N,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,89,0,0,0,4,0,0,0,0,0
O,0,0,0,0,0,0,13,0,0,0,0,24,0,4,112,0,0,0,1,35,0,0,0,0,47,12,0,52,0
P,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,263,0,0,0,0,0,0,0,0,0,0,22,0,0
Q,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,195,0,0,0,1,29,0,15,0,57,0,0,0
R,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,52,0,0,54,116,24,0,14,36,0,0,0
S,30,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,146,31,0,0,0,29,0,0,0,0,0
T,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,59,160,0,0,3,4,0,0,0,14,31
U,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,208,19,1,0,0,0,0,0,61
V,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,14,0,148,120,0,0,1,0,0,0
W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0
X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,60,0,0,0,0,216,0,0,0,0,0
Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0
Z,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,7,33,3,3,13,229,0,0,0
SCH,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0
CH,0,0,0,0,0,0,0,27,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,71,0,0,0,197,0
NOTHING,0,2,0,0,1,0,0,0,0,9,0,0,0,0,0,3,2,9,0,0,0,0,0,7,0,8,0,0,259
