,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,176,0,0,0,19,0,0,0,0,0,0,0,0,3,0,31,0,0,0,39,0,0,0,7,0,25,0,0,0
B,0,149,2,14,0,4,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,32,0,0,0,0,16,0,0
C,0,0,235,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,28
D,0,0,49,201,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
E,0,0,11,2,226,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,9,33,0,0,0
F,0,82,0,0,0,172,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,20,0,0,9,6,0,171,43,0,12,3,2,0,0,8,0,0,0,0,0,0,7,0,0,0,0,0,19,0
H,0,0,0,7,2,0,0,277,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0
I,0,7,0,0,0,0,0,0,40,0,0,4,0,0,0,0,61,30,0,0,0,0,0,0,150,8,0,0,0
J,0,0,0,0,0,0,0,0,36,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,120,0,0,0
K,0,0,2,0,0,0,0,0,0,5,182,40,0,0,0,0,0,0,0,0,0,0,0,0,40,4,0,27,0
L,0,18,0,0,17,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,26,0,5,0,38,125,0,0,0
M,0,0,0,0,8,0,0,0,38,0,0,0,162,47,0,0,1,0,0,0,0,0,0,0,24,13,0,7,0
N,0,0,0,0,0,0,0,0,0,0,0,0,9,140,0,0,39,0,0,102,0,0,0,10,0,0,0,0,0
O,0,0,7,69,41,0,22,5,0,0,0,0,0,12,36,0,47,0,12,0,0,0,0,23,0,0,0,26,0
P,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,234,0,0,0,0,0,0,0,0,0,0,28,0,0
Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,26,0,29,0,43,5,0,0
R,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,89,3,0,54,64,53,0,15,13,0,0,3
S,63,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,131,86,0,0,0,11,0,0,0,0,0
T,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,63,179,0,0,0,9,0,0,0,9,13
U,0,5,0,0,3,0,0,0,0,27,0,0,0,0,0,0,0,2,0,23,165,26,13,0,0,0,36,0,0
V,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,25,0,222,19,0,0,0,0,0,0
W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,293,0,0,0,0,0,0
X,0,0,0,12,19,0,0,0,0,1,0,0,0,0,0,0,0,44,17,0,0,0,0,207,0,0,0,0,0
Y,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0,0,0,0
Z,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,0,2,71,7,12,16,119,0,0,0
SCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0
CH,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,46,0,0,0,192,0
NOTHING,0,0,0,1,1,0,0,16,0,35,0,0,0,0,0,9,3,2,2,0,0,0,0,1,3,9,0,0,218
