,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,20,0,0,2,7,0,0,0,0,0,0,4,0,14,0,21,0,0,0,59,0,0,0,133,0,40,0,0,0
B,0,15,36,39,0,3,0,0,0,0,0,0,7,15,0,0,17,8,10,0,0,66,1,0,21,0,62,0,0
C,0,0,262,20,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
D,0,0,66,86,17,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,47,21,0
E,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,12,69,0,0,0
F,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,15,0,0,85,80,0,0,0,2,0,0,0,16,1,23,0,12,0,0,0,0,46,20,0,0,0
H,0,0,0,4,0,0,0,259,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,4,0,0,15,0
I,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,69,2,0,0,0,0,0,0,218,5,0,0,0
J,0,0,0,0,0,0,0,0,19,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,95,178,0,0,0
K,0,0,18,0,0,0,0,0,0,2,81,12,0,0,0,0,0,12,0,0,0,0,0,0,171,4,0,0,0
L,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,3,248,1,0,0
M,0,0,0,0,0,0,0,0,0,0,0,0,167,38,0,0,0,0,0,0,0,0,0,0,45,50,0,0,0
N,0,0,0,0,0,0,0,0,0,0,0,0,14,168,0,0,51,0,0,67,0,0,0,0,0,0,0,0,0
O,0,0,0,6,13,9,0,0,0,0,0,0,0,61,27,0,64,0,1,19,0,0,0,0,92,8,0,0,0
P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,29,0,0
Q,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,42,0,4,0,45,0,0,0
R,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,39,40,0,0,85,48,0,7,63,0,0,0
S,27,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,76,39,0,0,0,44,0,0,0,9,0
T,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,42,152,0,0,0,6,0,0,0,54,34
U,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,19,0,0,109,30,0,2,0,0,0,0,133
V,0,0,0,0,0,12,0,0,0,67,0,0,0,0,0,0,0,2,0,10,0,164,14,0,0,31,0,0,0
W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,13,271,0,0,0,0,0,0
X,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,1,50,1,0,0,0,0,149,8,0,0,0,0
Y,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,0,0,0,0
Z,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,30,12,0,1,0,54,0,1,0,160,0,6,0
SCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0
CH,0,0,0,20,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,7,0,0,0,27,0,0,0,217,0
NOTHING,0,0,0,0,0,2,0,14,0,18,0,0,0,0,0,9,3,1,0,0,0,0,0,0,0,19,0,0,234
