,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,87,0,0,25,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,1,0,105,0,0,0
B,0,143,0,20,2,0,0,0,0,0,0,0,0,8,0,0,0,13,0,0,0,95,0,0,0,0,19,0,0
C,0,0,208,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6
D,0,0,32,217,1,37,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0
E,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,96,0,0,0
F,0,146,0,51,0,85,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,56,0,0,144,23,0,0,0,0,0,0,0,0,0,0,0,1,0,31,0,0,15,28,0,2,0
H,0,0,0,17,0,0,0,259,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,17,0,0,0,0
I,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,193,0,0,0,0
J,0,0,0,16,0,0,0,0,43,5,0,0,0,0,0,0,0,0,0,0,0,0,28,0,71,137,0,0,0
K,0,0,0,21,0,0,0,0,4,0,205,39,0,0,0,0,0,0,0,0,0,0,0,0,28,0,3,0,0
L,0,0,0,0,3,0,0,0,1,0,0,58,0,16,0,0,0,0,0,0,16,0,9,0,1,126,70,0,0
M,0,0,0,0,0,0,0,0,1,0,0,0,192,34,0,0,0,0,0,0,0,14,0,0,25,34,0,0,0
N,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,48,0,0,0,3,0,0,0,0,0
O,0,0,0,203,0,0,1,0,0,0,0,0,0,0,47,0,1,0,0,0,0,0,0,0,8,5,0,35,0
P,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,41,0,0
Q,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,180,0,0,0,0,56,0,0,0,45,7,0,0
R,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,47,0,0,28,139,63,0,0,10,0,0,0
S,0,0,0,68,0,0,0,0,0,0,0,0,0,33,0,0,0,0,175,12,0,0,0,3,0,0,0,9,0
T,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,67,119,0,0,0,0,0,0,0,4,19
U,0,0,0,2,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,176,9,3,0,0,0,0,0,52
V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,107,0,0,0,0,0,0
W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,296,0,0,0,0,0,0
X,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,39,9,0,0,0,0,182,0,0,0,0,0
Y,4,0,0,38,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0
Z,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,49,10,0,13,94,0,0,0
SCH,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,0,0
CH,0,0,0,117,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0
NOTHING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,3,0,0,5,0,9,0,6,0,0,263
