,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,95,0,0,0,16,0,0,0,0,0,0,0,0,35,0,0,0,0,0,93,0,0,0,44,0,17,0,0,0
B,0,140,0,0,2,0,0,0,0,0,0,0,6,14,0,0,0,125,0,0,0,13,0,0,0,0,0,0,0
C,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,38
D,0,0,37,66,31,57,0,0,0,0,0,0,0,0,37,0,0,64,0,0,0,3,0,0,0,0,0,5,0
E,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,80,0,0,0
F,0,94,0,0,0,153,0,0,0,45,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,69,0,0,17,0,0,0,0,0,0,0,0,48,34,0,36,0,39,12,45,0,0,0
H,0,0,0,0,9,0,0,226,0,0,0,0,0,0,0,4,15,0,0,0,0,8,0,0,10,0,0,28,0
I,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,48,28,0,0,0,0,0,0,168,10,0,0,0
J,0,0,0,0,0,0,0,0,48,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,125,120,0,0,0
K,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,17,0,0,0,0,0,0,111,0,0,0,0
L,0,5,0,0,0,0,0,0,13,0,0,106,0,0,0,0,0,0,0,0,39,0,10,0,59,68,0,0,0
M,0,0,0,0,0,0,0,0,9,0,0,0,159,33,0,0,0,0,0,0,0,0,0,0,53,46,0,0,0
N,0,0,0,0,0,0,0,0,0,0,0,0,0,196,11,0,27,0,0,58,0,0,0,8,0,0,0,0,0
O,0,0,0,0,8,0,0,0,0,0,0,0,0,17,96,0,4,0,13,65,0,8,0,22,16,3,0,48,0
P,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,264,0,0,0,0,0,0,0,0,0,0,28,0,0
Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,28,0,15,0,41,0,0,0
R,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,93,26,0,25,96,16,2,17,16,0,0,0
S,66,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,140,1,0,0,0,83,0,0,0,0,0
T,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,51,147,0,0,0,27,0,0,0,0,14
U,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,180,71,33,0,0,9,1,0,0
V,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,199,46,0,0,43,0,0,0
W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,296,0,0,0,0,0,0
X,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,31,42,0,0,0,0,225,0,0,0,0,0
Y,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,0
Z,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,58,2,0,0,2,29,0,0,12,171,0,0,0
SCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0
CH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,97,0,0,0,202,0
NOTHING,0,0,0,0,0,0,0,8,0,10,0,0,0,0,0,0,2,25,4,0,3,0,0,0,0,11,0,0,237
