,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,74,0,0,0,0,0,0,0,0,0,0,125,0,9,0,0,0,0,0,70,0,0,0,0,0,22,0,0,0
B,0,62,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,2,14,0,0,46,20,0,29
C,23,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
D,0,0,239,10,1,0,1,0,0,0,0,0,15,0,0,19,0,0,9,0,0,0,0,0,0,6,0,0,0
E,0,0,0,0,195,48,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,21,15,0,13,0
F,0,74,0,0,0,185,0,0,0,25,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
G,0,0,0,27,0,0,43,0,0,1,0,1,7,0,8,0,0,0,25,0,0,0,7,0,36,28,29,88,0
H,0,0,0,0,0,0,2,42,0,31,0,0,0,0,21,0,0,0,26,0,0,0,0,0,104,0,0,73,1
I,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,9,17,13,0,0,0,0,0,0,120,23,15,0,0
J,8,0,0,0,0,0,0,0,29,21,6,4,0,0,0,0,0,0,5,0,0,0,0,0,61,166,0,0,0
K,0,0,0,0,0,0,0,0,0,5,95,47,0,0,0,0,0,0,0,0,0,0,0,0,43,77,12,21,0
L,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,27,0,0,0,0,0,0,61,61,5,0,0
M,0,0,0,0,0,0,0,0,7,0,0,0,186,15,0,0,0,0,0,0,0,0,0,0,88,0,4,0,0
N,0,0,0,0,0,0,32,6,0,28,0,13,16,70,0,63,64,0,0,8,0,0,0,0,0,0,0,0,0
O,19,0,0,0,1,0,35,0,0,0,0,38,32,28,25,20,0,0,18,36,0,0,5,0,6,12,0,25,0
P,14,0,0,0,0,0,0,14,0,0,0,23,0,0,0,210,13,0,0,0,10,0,10,0,6,0,0,0,0
Q,0,0,0,0,0,0,0,31,0,1,0,18,0,0,0,26,75,11,0,0,0,16,0,23,76,5,8,0,10
R,15,0,0,0,0,0,0,0,4,2,2,3,0,0,0,0,0,94,0,0,55,80,4,0,0,22,19,0,0
S,0,0,0,0,0,0,257,0,0,10,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
T,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,4,37,0,0,0,0,0,0,0,49,13
U,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,69,0,0,0,0,34,0,0,98
V,0,0,0,16,19,41,40,0,0,0,0,0,0,0,0,0,0,0,10,0,0,76,0,0,0,39,0,52,7
W,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,90,8,0,105,0,0,85
X,0,0,0,7,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,4,0,0,17
Y,4,3,0,0,18,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,220,0,1,0,4
Z,0,0,9,0,0,0,0,0,0,0,0,3,12,0,0,6,15,22,0,0,0,0,17,9,0,174,3,0,30
SCH,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,6,42,0,0,7,161,0,0
CH,0,0,83,1,32,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,22,25
NOTHING,4,0,0,0,0,23,0,0,0,54,0,0,0,19,0,0,10,0,0,0,0,3,3,0,10,0,13,0,161
