,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,88,0,0,0,0,0,0,0,0,45,0,46,0,41,0,0,0,0,0,40,0,0,0,16,0,11,13,0,0
B,0,52,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,37,0,0,0,21,1,75,0,0
C,0,0,115,0,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,5
D,0,0,113,14,95,8,22,1,0,3,0,0,3,0,0,29,0,0,0,0,6,0,0,2,0,0,0,4,0
E,0,0,0,0,193,16,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,41,5,9,4,21
F,0,168,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,43,0,2,0,15,0,0,0,11,0,18,10,4,0,12,0,0,0,44,6,95,20,20
H,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,3,76,15,0
I,0,0,0,0,0,0,0,0,36,0,0,5,0,0,0,0,12,13,0,0,0,0,0,0,210,2,22,0,0
J,3,0,0,0,0,0,0,0,31,35,0,0,0,0,0,0,0,0,7,0,0,0,0,0,45,179,0,0,0
K,0,9,0,0,0,3,0,0,0,0,111,0,13,0,0,0,0,0,0,0,11,0,0,8,87,18,40,0,0
L,0,0,0,0,0,0,0,6,0,0,0,15,0,0,0,0,0,0,0,0,45,0,0,0,57,0,177,0,0
M,0,0,0,0,0,0,4,4,0,26,0,0,201,3,0,0,13,0,0,0,0,0,0,0,49,0,0,0,0
N,0,0,0,0,0,0,0,47,0,12,0,12,19,128,19,0,45,0,0,10,0,0,0,0,0,0,8,0,0
O,12,0,0,0,26,0,44,10,0,6,0,0,46,19,9,14,0,0,0,0,0,0,0,0,6,2,23,77,6
P,14,0,0,0,0,1,13,27,0,0,0,3,0,0,0,198,25,0,0,0,0,0,0,0,0,0,19,0,0
Q,0,0,0,0,0,0,4,33,0,0,4,0,0,0,0,36,77,0,0,0,0,0,0,21,0,0,125,0,0
R,22,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,83,77,0,0,19,5,56,0,0
S,0,0,0,0,0,0,176,0,0,91,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
T,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,52,0
U,0,80,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,70,5,22,0,0,9,0,0,93
V,0,0,0,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,171,0,0,0,20,0,67,0
W,0,4,0,58,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,45,83,0,0,72,11,0,20
X,0,0,0,0,28,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0
Y,0,0,0,11,14,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,257,0,2,0,0
Z,0,6,12,24,94,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,43,28,27,0,43,0,0,15
SCH,0,24,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,36,0,0,0,229,0,2
CH,0,0,35,0,13,0,66,0,0,6,0,0,0,0,0,0,0,0,26,0,0,0,0,29,0,0,0,125,0
NOTHING,0,0,0,0,0,2,0,0,0,45,0,0,0,12,5,0,5,0,0,0,0,0,2,0,40,0,23,0,166
