,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,132,0,0,0,5,0,0,0,0,0,0,23,0,7,0,0,0,0,0,114,0,0,0,6,8,5,0,0,0
B,0,63,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,53,57,0,0,2,3,36,3,0,0
C,23,0,226,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,39,0
D,0,0,139,7,47,35,0,0,0,0,0,0,0,0,0,39,0,0,0,18,5,0,0,8,0,0,2,0,0
E,0,0,0,0,197,21,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,58,1,0,15,0
F,0,152,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,9,0,0,0,6,0,0,0,0,0,0,0,53,1,15,0,0,12,63,9,53,79,0
H,0,0,0,0,0,14,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,56,0
I,0,0,0,0,0,0,0,0,28,0,0,23,0,0,0,10,8,7,0,0,0,0,0,0,217,2,5,0,0
J,0,0,0,0,0,0,0,0,44,7,0,0,0,0,0,0,0,0,21,0,0,0,0,0,99,129,0,0,0
K,0,0,0,0,0,3,0,0,0,0,145,5,0,0,0,0,0,0,0,0,39,0,0,0,32,68,8,0,0
L,0,0,0,0,0,0,0,0,0,0,0,44,0,6,0,0,0,29,0,16,36,14,0,0,107,40,5,3,0
M,0,0,0,5,0,0,0,0,0,1,0,0,116,50,0,0,1,0,4,0,0,0,0,24,96,0,3,0,0
N,0,0,0,0,0,0,3,0,0,0,0,31,0,106,0,5,8,0,0,147,0,0,0,0,0,0,0,0,0
O,24,0,0,0,13,0,0,0,0,0,0,23,15,49,0,9,0,0,0,51,0,2,7,23,21,0,0,63,0
P,12,0,0,0,0,10,23,39,0,0,0,6,0,9,0,148,15,0,0,0,0,0,3,0,35,0,0,0,0
Q,0,0,0,22,0,0,6,17,0,0,0,0,0,14,0,0,58,0,0,0,5,52,0,58,68,0,0,0,0
R,28,0,0,0,9,0,0,0,0,0,23,0,0,0,0,0,0,12,0,0,112,52,17,10,7,27,3,0,0
S,0,0,2,0,0,0,227,0,0,37,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
T,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,0,0,0,0,0,52,27
U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,104,49,0,2,0,39,0,0,102
V,0,0,47,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,10,0,0,204,0,0,0,21,0,8,3
W,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,72,86,0,60,0,0,49
X,0,0,0,0,13,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0
Y,0,0,0,0,38,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,84,0,0,0,0
Z,0,0,62,0,19,0,12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,16,7,50,0,116,0,0,16
SCH,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,36,42,0,0,4,200,0,0
CH,0,0,244,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,25,0
NOTHING,3,0,0,0,0,20,0,0,0,110,3,0,0,28,0,0,23,0,0,1,0,0,3,0,11,1,25,1,71
