,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,85,0,0,0,0,0,0,0,0,0,0,127,0,8,0,0,0,0,0,62,0,0,0,0,0,18,0,0,0
B,0,63,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,2,19,0,0,45,7,0,28
C,23,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0
D,0,0,240,8,2,0,0,0,0,0,0,0,15,0,0,17,0,1,10,0,0,0,0,0,0,6,0,0,1
E,0,0,0,0,195,31,0,0,2,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,21,14,0,29,0
F,0,58,0,0,0,196,0,0,6,34,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
G,0,0,0,24,0,0,34,0,0,5,0,2,8,0,7,0,0,0,21,0,0,0,7,0,45,22,29,96,0
H,0,0,0,0,0,0,17,42,0,32,0,0,0,0,2,0,0,0,21,0,0,0,0,0,112,0,0,74,0
I,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,9,16,12,0,0,0,0,0,0,118,22,16,0,0
J,8,0,0,0,0,0,0,0,32,30,4,8,0,0,0,0,0,0,7,0,0,0,0,0,61,150,0,0,0
K,0,0,0,0,0,0,0,0,7,2,87,61,0,0,0,0,0,0,0,0,0,0,0,0,39,71,12,21,0
L,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,28,0,0,0,0,0,0,64,57,5,0,0
M,0,0,0,0,0,0,0,0,14,1,0,0,180,12,0,0,0,0,0,0,0,0,0,0,89,0,4,0,0
N,0,0,0,0,0,0,33,7,0,32,0,8,17,69,0,69,61,0,0,4,0,0,0,0,0,0,0,0,0
O,24,0,0,0,3,0,27,0,0,0,0,39,36,21,25,20,3,0,15,28,0,0,3,0,6,13,0,37,0
P,14,0,0,0,0,0,0,11,0,0,0,26,0,0,0,209,14,0,0,0,9,0,11,0,6,0,0,0,0
Q,0,0,0,0,0,0,1,19,0,2,0,24,0,0,0,28,77,14,0,0,0,15,0,22,78,4,6,0,10
R,19,0,0,0,0,0,0,0,5,1,0,5,0,0,0,0,0,95,0,0,48,76,3,0,0,23,25,0,0
S,0,0,0,0,0,0,258,0,0,9,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
T,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,4,36,0,0,0,0,0,0,0,48,8
U,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,70,0,0,0,0,34,0,0,97
V,0,0,0,7,20,44,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,37,0,62,7
W,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,89,13,0,106,0,0,78
X,0,0,0,7,0,0,106,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,150,0,13,0,0,15
Y,11,3,0,0,16,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,228,0,0,0,0
Z,0,0,9,0,0,0,0,0,0,0,0,9,9,0,0,3,14,29,0,0,0,0,18,0,0,182,3,0,24
SCH,0,69,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0,10,42,0,0,7,151,0,0
CH,0,3,58,0,34,0,145,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,2,0,23,28
NOTHING,4,0,0,0,0,25,0,0,0,56,0,0,0,23,0,0,10,0,0,0,0,3,1,0,13,2,12,0,151
