,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,70,0,0,0,2,0,0,0,0,5,0,113,0,9,0,0,0,0,0,76,0,0,0,12,0,13,0,0,0
B,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,3,0,0,0,0,0,79,0,0,21
C,26,0,237,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3
D,0,0,240,8,0,0,0,0,0,4,3,0,1,0,0,10,0,13,0,0,0,0,0,0,0,0,2,0,19
E,0,0,0,0,188,10,0,0,0,0,0,0,0,0,1,0,0,0,6,4,0,0,0,0,56,9,0,26,0
F,0,110,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,40,5,0,0,0,0,0,3,14,0,0,22,6,2,0,0,0,0,18,52,56,82,0
H,0,0,0,0,0,0,0,65,0,23,0,0,0,0,30,0,0,0,20,0,0,0,0,0,90,0,18,54,0
I,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,14,11,18,0,0,0,0,0,0,180,10,15,0,0
J,0,0,0,0,0,0,0,0,17,95,15,0,0,0,0,0,0,0,3,0,0,0,0,0,59,111,0,0,0
K,0,0,0,0,0,0,0,0,0,19,122,47,0,0,0,0,0,0,0,0,26,0,0,0,35,40,0,11,0
L,0,9,0,0,0,0,0,5,0,28,0,92,0,0,0,0,0,9,0,0,18,0,0,0,35,19,58,27,0
M,0,0,0,0,0,0,0,0,32,8,0,13,151,12,0,0,1,0,0,0,0,0,0,0,79,0,4,0,0
N,0,0,0,0,0,0,20,52,0,8,0,0,0,158,16,5,25,0,0,5,0,0,0,0,0,11,0,0,0
O,19,0,0,2,0,0,0,0,0,0,0,14,17,40,34,13,1,0,10,31,0,0,9,23,0,3,15,69,0
P,10,0,0,0,0,0,0,5,0,0,0,4,0,0,0,255,1,0,0,0,9,0,5,0,9,2,0,0,0
Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,90,3,0,0,7,0,0,15,41,8,82,0,0
R,1,0,9,0,0,0,0,0,0,8,4,0,0,0,0,0,0,61,0,0,74,25,11,0,0,36,28,0,43
S,0,0,0,20,0,0,237,0,0,13,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
T,0,0,6,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,44,16
U,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,85,0,0,0,0,13,0,0,96
V,0,0,69,0,0,162,0,0,0,0,1,0,0,0,0,0,0,0,22,0,0,23,0,0,0,8,0,5,10
W,0,27,0,0,0,81,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,79,0,0,32,0,0,67
X,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,224,0,12,0,0,7
Y,20,0,0,0,1,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,106,0,19,0,15
Z,0,0,32,4,0,0,0,0,0,0,1,0,0,0,0,21,0,24,0,0,0,0,4,0,0,178,4,0,32
SCH,0,82,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,175,0,0
CH,0,2,88,0,85,0,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
NOTHING,6,0,0,0,0,4,0,0,0,23,0,0,0,20,0,0,8,0,0,0,0,0,3,0,20,0,38,0,178
