,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,59,0,0,0,0,0,0,0,0,45,0,42,0,42,0,0,0,0,0,54,0,0,0,39,0,11,8,0,0
B,0,45,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,55,0,0,0,19,3,65,0,0
C,0,0,109,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,1
D,0,0,107,11,108,0,22,4,0,5,0,0,4,0,0,22,0,0,0,2,3,0,0,3,0,2,0,7,0
E,0,0,0,0,196,18,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,8,6,13,14
F,0,153,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,42,0,2,0,16,0,0,0,12,0,16,12,4,0,15,0,0,0,43,6,85,37,10
H,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,3,73,17,0
I,0,0,0,0,0,0,0,0,37,0,0,13,0,0,0,0,8,14,0,0,0,0,0,0,205,7,16,0,0
J,4,0,0,0,0,0,0,0,31,40,0,0,0,0,0,0,0,0,6,0,0,0,0,0,35,184,0,0,0
K,0,9,0,0,0,0,0,0,0,0,108,0,15,0,0,0,0,0,0,0,4,0,0,18,80,31,35,0,0
L,0,0,0,0,0,0,0,10,0,0,0,45,0,0,0,0,0,0,0,0,19,0,0,0,57,0,169,0,0
M,0,0,0,0,0,0,5,0,0,37,0,0,192,7,0,0,13,0,0,0,0,0,0,0,46,0,0,0,0
N,0,0,0,0,0,0,1,52,0,18,0,9,21,116,20,0,61,0,0,1,0,0,0,0,0,0,1,0,0
O,9,0,0,0,18,0,56,10,0,6,0,0,39,26,14,14,0,0,0,0,0,0,0,0,2,3,16,87,0
P,14,0,0,0,0,2,23,23,0,0,0,0,0,0,0,193,21,0,0,0,2,0,1,2,4,0,15,0,0
Q,0,0,0,0,0,0,1,25,0,0,4,16,0,0,0,24,85,0,0,0,0,1,0,32,0,0,112,0,0
R,18,0,14,0,2,0,0,0,0,0,0,3,0,0,0,0,0,47,0,0,88,75,0,0,13,5,35,0,0
S,0,0,0,0,0,0,175,0,0,93,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
T,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,53,0
U,0,27,0,12,0,0,0,0,0,0,0,0,0,0,0,0,10,44,0,0,91,0,17,0,0,13,0,0,86
V,0,0,3,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,184,0,0,0,17,0,45,0
W,0,0,0,80,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,51,86,0,0,46,15,0,15
X,0,0,0,2,25,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0
Y,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0
Z,0,0,29,32,82,11,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,42,19,19,0,38,2,8,7
SCH,0,23,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,40,0,0,0,224,0,0
CH,0,0,26,0,4,0,52,0,0,2,0,0,0,0,0,0,0,0,23,0,0,0,0,32,0,0,0,161,0
NOTHING,0,0,0,0,0,2,1,0,0,69,0,0,0,9,7,0,5,0,0,0,0,0,0,0,30,2,24,0,151
