,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,97,0,0,0,0,0,0,0,0,44,0,22,0,13,0,0,0,0,0,87,0,0,0,29,0,8,0,0,0
B,0,52,20,7,0,0,0,0,0,52,0,0,0,0,0,0,0,136,0,0,9,0,13,0,6,0,5,0,0
C,4,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,84,0
D,0,0,228,7,2,0,6,0,0,0,0,0,0,0,1,28,0,11,5,0,0,0,0,0,1,0,0,11,0
E,0,0,0,3,180,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,8,0,0,0
F,0,18,0,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,6,2,0,18,12,0,0,0,25,0,2,21,4,0,0,0,8,0,36,62,73,26,5
H,0,0,0,0,0,0,1,88,0,25,0,0,0,0,7,0,13,0,9,0,0,0,0,0,117,0,36,4,0
I,0,0,0,0,0,0,0,0,31,2,0,0,0,0,0,9,8,52,0,0,0,0,0,0,198,0,0,0,0
J,2,0,0,0,0,0,0,0,25,60,22,0,0,0,0,0,0,0,11,0,0,0,0,0,25,155,0,0,0
K,0,5,0,0,0,0,0,0,0,0,131,15,3,0,0,0,0,7,0,0,5,0,0,0,25,92,0,17,0
L,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,13,0,0,15,0,0,0,18,14,60,0,0
M,0,0,0,9,0,0,0,0,0,18,1,23,188,18,0,0,7,0,0,0,0,0,0,0,19,17,0,0,0
N,0,0,0,0,0,0,38,47,0,22,0,13,0,123,19,0,10,0,0,28,0,0,0,0,0,0,0,0,0
O,43,0,0,0,0,0,0,0,0,8,0,0,45,19,32,2,29,0,0,0,2,19,21,19,0,3,18,40,0
P,9,0,0,0,1,0,0,13,0,0,0,0,0,0,0,213,32,0,0,0,0,0,25,0,0,0,7,0,0
Q,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,45,87,1,0,0,0,38,5,24,29,49,13,0,0
R,8,0,42,0,3,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,73,49,24,0,7,4,1,0,0
S,0,0,0,0,0,0,244,0,0,26,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
T,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,52,20
U,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,100,0,0,1,0,45,12,0,92
V,0,0,0,0,19,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,15,0,33,0,35,0
W,0,0,0,0,0,75,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,15,92,62,0,46,5,0,0
X,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,194,0,0,0,0,0
Y,0,0,0,0,23,4,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,246,0,0,0,0
Z,0,0,0,0,71,18,0,0,0,0,0,0,0,0,0,24,0,9,0,0,0,37,20,58,0,63,0,0,0
SCH,0,26,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,8,219,0,0
CH,0,0,32,0,28,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,91,0
NOTHING,0,3,0,7,0,6,4,0,0,26,19,0,0,6,0,1,7,0,0,0,0,2,2,0,16,0,52,0,149
