,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,26,0,0,10,26,0,0,0,0,0,0,170,0,0,0,0,0,0,0,22,0,0,0,34,5,7,0,0,0
B,0,118,14,23,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,29,3,5,0,9,24,0,0,32
C,11,0,248,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20
D,0,0,150,16,107,4,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,12
E,0,0,0,7,198,22,0,5,0,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,11,0,0,45,0
F,0,25,0,0,18,219,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,77,0,0,0,0,0,0,0,11,0,0,31,9,0,0,0,0,0,48,15,43,66,0
H,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,180,0,4,50,0
I,0,0,5,0,0,0,0,6,43,0,0,0,0,0,0,28,0,36,0,0,0,0,0,0,177,5,0,0,0
J,7,0,0,0,22,0,0,0,28,31,0,12,0,0,0,0,0,0,20,0,0,0,0,0,75,103,0,2,0
K,0,0,0,0,6,0,0,0,0,0,24,51,0,0,0,0,0,0,0,0,8,0,0,0,113,98,0,0,0
L,0,0,0,0,0,0,0,4,0,30,0,130,0,0,0,0,0,18,0,0,0,0,0,0,75,33,1,9,0
M,0,0,0,0,68,0,1,0,24,4,0,5,100,3,0,13,17,0,0,0,0,0,0,0,65,0,0,0,0
N,0,0,0,0,0,0,22,57,0,26,0,0,1,90,0,30,37,0,0,4,0,0,0,19,7,7,0,0,0
O,5,0,0,16,75,0,0,0,0,0,0,17,9,39,23,13,10,0,10,0,0,0,0,23,8,0,11,41,0
P,13,0,0,0,0,0,3,38,0,0,0,18,0,0,0,200,18,0,0,0,0,0,5,0,5,0,0,0,0
Q,0,0,0,0,7,0,0,56,0,0,5,26,0,0,0,0,74,10,0,0,9,0,0,9,47,57,0,0,0
R,0,0,17,0,14,18,0,2,0,0,0,10,0,0,0,0,0,104,0,0,61,46,3,0,3,22,0,0,0
S,0,0,0,0,60,0,212,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0
T,0,0,0,0,1,0,182,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,53,17
U,0,10,4,4,87,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,47,0,0,3,0,12,0,0,102
V,0,18,70,64,42,22,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,17,0,0,0,60,0,0,0
W,0,4,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,15,70,0,0,160,0,0,31
X,0,0,0,3,83,0,30,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,157,0,20,0,0,0
Y,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0
Z,0,1,58,0,21,0,0,6,0,0,0,0,0,0,0,4,0,29,0,0,0,18,7,0,0,156,0,0,0
SCH,0,96,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,46,0,0,0,102,0,7
CH,0,0,54,4,127,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,27
NOTHING,7,1,2,36,8,22,0,1,0,31,1,0,0,8,6,0,36,0,0,4,0,4,1,0,15,4,18,0,95
