,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,45,0,0,0,0,0,0,0,0,3,0,65,0,41,0,0,0,0,0,48,0,0,0,13,30,55,0,0,0
B,0,35,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,8,0,0,68,0,6,0
C,19,0,123,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,148,0
D,0,0,208,34,0,0,1,0,0,3,0,0,0,2,0,10,0,22,0,0,6,0,0,0,0,9,0,0,5
E,0,0,0,0,194,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,8,0,0,89,0
F,0,68,0,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,9,0,0,60,0,0,0,5,0,0,0,3,0,0,16,0,0,9,0,3,0,11,34,34,116,0
H,0,0,0,0,0,0,20,31,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,145,0,0,87,0
I,0,0,0,0,0,0,0,0,63,0,0,2,0,0,0,9,0,30,0,0,0,0,0,0,161,17,15,3,0
J,0,0,0,0,0,0,0,0,29,49,2,0,0,6,0,0,0,0,3,0,0,0,0,0,33,178,0,0,0
K,0,0,0,0,0,0,0,0,0,0,102,69,0,0,0,0,0,0,0,0,0,0,0,0,29,92,8,0,0
L,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,4,0,0,23,0,0,0,13,17,6,0,0
M,0,0,0,0,0,0,0,0,0,28,0,8,150,48,0,0,2,0,0,12,0,0,0,0,52,0,0,0,0
N,0,0,0,0,0,0,0,17,0,0,0,47,0,208,0,17,11,0,0,0,0,0,0,0,0,0,0,0,0
O,23,0,0,0,4,0,0,0,0,0,0,0,0,47,28,6,0,0,0,20,26,0,34,0,14,0,0,98,0
P,14,0,0,0,0,0,4,25,0,0,0,1,0,0,0,215,13,0,0,0,0,0,12,0,16,0,0,0,0
Q,0,0,0,0,0,0,7,43,10,0,0,1,0,0,0,11,70,0,0,0,0,35,2,52,35,21,13,0,0
R,16,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,97,36,40,0,0,26,11,0,0
S,0,0,0,0,0,0,222,0,0,30,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0
T,4,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,10,28,0,0,0,0,0,0,0,48,16
U,0,13,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,60,0,0,76,0,16,0,0,30,0,0,101
V,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,171,0,80,0
W,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,4,77,0,0,160,0,0,33
X,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,41,0,0,0
Y,8,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,121,0,0,0,0
Z,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,32,0,10,0,0,0,0,24,4,0,200,0,0,0
SCH,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,70,0,0,12,176,0,0
CH,0,0,172,4,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,18,9
NOTHING,1,0,0,14,0,1,0,0,0,35,2,0,0,8,0,0,38,0,0,0,0,1,1,0,16,4,32,0,147
