,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,65,0,0,0,0,0,0,0,0,41,0,49,0,48,0,0,0,0,0,51,0,0,0,24,0,13,9,0,0
B,0,44,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,46,0,0,0,19,3,64,0,0
C,0,0,109,0,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,3
D,0,0,109,12,100,5,23,3,0,5,0,0,5,0,0,23,0,0,0,2,3,0,0,3,0,1,0,6,0
E,0,0,0,0,193,19,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,7,6,11,20
F,0,159,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,43,0,2,0,17,0,0,0,12,0,17,11,4,0,14,0,0,0,42,5,88,26,19
H,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,3,73,17,0
I,0,0,0,0,0,0,0,0,37,0,0,13,0,0,0,0,11,14,0,0,0,0,0,0,203,6,16,0,0
J,3,0,0,0,0,0,0,0,30,39,0,0,0,0,0,0,0,0,7,0,0,0,0,0,39,182,0,0,0
K,0,11,0,0,0,2,0,0,0,0,109,0,15,0,0,0,0,0,0,0,4,0,0,17,81,25,36,0,0
L,0,0,0,0,0,0,0,9,0,0,0,42,0,0,0,0,0,0,0,0,22,0,0,0,57,0,170,0,0
M,0,0,0,0,0,0,5,0,0,30,0,0,199,7,0,0,13,0,0,0,0,0,0,0,46,0,0,0,0
N,0,0,0,0,0,0,6,38,0,11,0,18,19,133,20,0,50,0,0,5,0,0,0,0,0,0,0,0,0
O,11,0,0,0,17,0,57,10,0,6,0,0,39,26,13,14,0,0,0,0,0,0,0,0,3,3,15,84,2
P,14,0,0,0,0,2,18,26,0,0,0,3,0,0,0,194,22,0,0,0,2,0,0,0,3,0,16,0,0
Q,0,0,0,0,0,0,2,26,0,0,4,9,0,0,0,30,85,0,0,0,0,1,0,31,0,0,112,0,0
R,19,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,87,75,0,0,16,5,32,0,0
S,0,0,0,0,0,0,175,0,0,93,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
T,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,53,0
U,0,37,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,83,0,18,0,0,12,0,0,97
V,0,0,4,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,181,0,0,0,19,0,48,0
W,0,4,0,68,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,52,83,0,0,53,11,0,20
X,0,0,0,0,23,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0
Y,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0
Z,0,0,34,24,78,10,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,41,21,27,0,39,0,0,13
SCH,0,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,38,0,0,0,227,0,2
CH,0,0,25,0,0,0,58,0,0,2,0,0,0,0,0,0,0,0,26,0,0,0,0,32,0,0,0,157,0
NOTHING,0,0,0,0,0,2,2,0,0,60,0,0,0,12,6,0,5,0,0,0,0,0,0,0,28,0,24,0,161
