,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,98,0,0,2,5,0,0,0,0,24,0,75,0,16,3,0,0,0,0,9,0,8,0,32,0,16,12,0,0
B,0,50,17,19,0,0,0,0,0,29,0,0,0,0,0,0,0,90,0,0,35,0,0,0,16,8,36,0,0
C,21,0,173,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0
D,0,0,222,16,0,0,6,2,0,7,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,11,0,22,0
E,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,8,0,2,0
F,0,45,0,0,0,218,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,23,0,7,0,15,17,0,0,16,0,0,21,2,0,4,0,0,0,26,24,114,31,0
H,0,0,0,0,0,0,3,65,0,9,0,0,0,0,19,0,0,0,0,0,0,0,0,0,143,0,45,16,0
I,0,0,0,0,0,0,0,0,30,0,0,37,0,0,0,0,0,5,0,0,0,0,0,0,215,9,0,4,0
J,12,0,0,0,0,0,0,0,38,48,4,0,0,0,0,0,0,0,22,0,0,0,0,0,30,146,0,0,0
K,0,0,0,0,0,0,0,0,0,0,106,25,1,0,0,0,0,0,0,0,0,0,0,0,12,138,2,16,0
L,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,12,1,0,0,21,16,67,0,0
M,0,0,0,0,0,0,0,0,0,41,0,49,161,2,0,0,0,0,0,0,0,0,0,0,23,0,24,0,0
N,0,0,0,0,0,0,10,33,0,7,0,37,0,110,55,0,26,0,0,13,0,0,0,0,0,0,9,0,0
O,45,0,5,0,4,0,0,0,0,0,0,0,20,41,33,19,0,0,0,0,7,0,13,6,0,6,38,63,0
P,18,0,0,0,19,1,4,46,0,0,0,5,0,0,0,191,12,0,0,0,0,0,0,0,0,4,0,0,0
Q,0,0,0,0,0,0,0,39,0,0,3,1,0,0,0,19,72,0,0,0,0,17,0,20,66,22,41,0,0
R,18,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,60,98,0,0,17,19,21,0,0
S,0,0,0,0,0,0,198,0,0,16,0,0,0,0,0,0,0,0,40,0,0,0,0,13,0,0,0,33,0
T,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,54,10
U,0,84,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,55,0,0,0,0,47,0,0,89
V,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,149,0,0,0,104,0,30,0
W,0,0,0,18,0,0,0,0,0,0,22,23,0,0,3,0,0,0,0,0,0,7,89,0,0,129,0,0,9
X,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,17,0,0,0,0
Y,0,0,0,3,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,22,270,0,0,0,0
Z,0,0,4,0,72,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,18,2,97,0,96,0,0,0
SCH,0,17,11,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,19,42,0,0,38,159,0,0
CH,37,0,14,0,40,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,119,0
NOTHING,0,1,0,2,0,11,0,0,0,34,12,0,0,14,0,1,6,0,0,0,0,4,0,0,25,6,49,0,135
