,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,57,0,0,0,0,0,0,0,0,19,0,96,0,30,0,0,0,1,0,70,0,0,0,2,0,25,0,0,0
B,0,67,44,31,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,2,46,0,0,0,0,4,0,0,0
C,20,0,244,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,24,0
D,0,0,202,14,4,15,0,13,0,3,0,0,0,0,0,28,0,14,0,0,7,0,0,0,0,0,0,0,0
E,0,0,0,13,191,0,0,0,0,0,0,0,0,0,9,0,0,0,17,0,0,0,0,0,40,0,0,30,0
F,0,77,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,6,0,0,40,0,0,0,7,0,0,0,12,0,3,9,11,0,0,0,0,0,60,0,61,86,5
H,0,0,0,0,0,0,31,13,0,7,0,0,0,0,17,0,0,0,4,0,0,0,0,0,128,0,0,100,0
I,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,64,6,0,0,0,0,0,152,19,0,0,0
J,12,0,0,0,0,0,0,0,23,18,0,0,0,10,0,0,0,0,41,0,0,0,0,0,56,140,0,0,0
K,20,0,0,0,0,0,0,0,0,0,87,19,0,0,0,0,0,0,0,0,32,0,0,0,59,61,7,15,0
L,0,20,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,25,0,0,12,19,0,0,59,15,13,0,0
M,0,0,0,0,0,0,0,0,0,9,8,0,148,64,0,0,0,0,3,0,0,0,0,0,66,0,2,0,0
N,0,0,0,0,0,0,6,1,0,0,0,45,0,124,0,48,67,0,0,9,0,0,0,0,0,0,0,0,0
O,14,0,0,0,7,0,0,0,0,0,0,1,16,48,34,7,0,0,21,15,0,11,20,14,0,0,14,78,0
P,16,0,0,0,0,0,6,22,0,0,0,0,0,0,0,211,11,0,0,0,0,0,20,1,13,0,0,0,0
Q,0,0,0,0,0,0,0,24,7,0,0,1,0,28,0,12,45,3,0,19,10,42,1,1,91,0,16,0,0
R,13,0,11,0,10,0,0,0,0,0,3,0,0,0,0,0,0,65,1,0,77,99,6,0,15,0,0,0,0
S,0,0,0,0,6,0,261,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
T,0,0,0,0,2,0,195,0,0,0,0,0,0,0,0,0,0,0,4,41,0,0,0,0,0,0,0,43,15
U,0,27,0,0,9,0,36,0,0,0,0,0,0,0,0,0,0,42,0,0,42,1,0,0,0,51,0,0,92
V,0,0,0,0,8,33,1,0,0,0,0,0,0,0,0,6,0,0,7,0,0,212,0,0,0,25,0,3,5
W,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,11,65,4,0,125,0,0,54
X,0,0,0,0,19,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0
Y,6,0,0,0,36,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,110,0,0,0,0
Z,0,0,22,0,1,0,5,0,0,0,0,0,0,0,0,70,0,6,0,0,0,0,12,0,0,184,0,0,0
SCH,0,19,16,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,42,0,0,35,178,0,0
CH,0,0,47,0,44,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
NOTHING,3,28,0,3,0,24,0,0,0,70,0,0,0,11,0,0,16,0,0,0,0,0,2,0,15,0,34,0,94
