,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,63,0,0,0,0,0,0,0,0,5,0,134,0,7,0,0,0,0,0,71,0,0,0,9,0,11,0,0,0
B,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,5,0,0,4,0,0,73,0,0,0
C,25,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3
D,0,0,242,10,0,0,0,0,2,4,3,0,0,0,0,7,0,13,0,0,0,0,0,0,0,0,0,0,19
E,0,0,0,0,188,11,0,0,0,0,0,0,0,0,1,0,0,0,11,4,0,0,0,0,52,8,0,25,0
F,0,94,0,0,0,161,0,0,0,10,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,38,9,0,0,4,0,0,24,1,0,0,20,0,0,0,0,0,0,16,53,59,76,0
H,0,0,0,0,0,0,10,93,0,26,0,0,0,0,18,0,0,0,11,0,0,0,0,0,82,0,15,45,0
I,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,11,15,22,0,0,0,0,0,0,177,10,12,0,0
J,0,0,0,0,1,0,0,0,23,87,13,0,0,0,0,0,0,0,4,0,0,0,0,0,58,114,0,0,0
K,0,0,0,0,0,0,0,0,0,12,116,56,0,0,0,0,0,0,0,0,23,0,0,0,39,45,0,9,0
L,0,0,0,0,0,0,0,0,0,19,0,110,0,0,0,0,0,16,0,0,13,0,0,0,57,37,17,31,0
M,0,0,0,3,0,0,0,0,35,10,0,11,142,12,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0
N,0,0,0,0,0,0,22,40,0,11,0,0,0,170,9,6,23,0,0,6,0,0,0,0,0,13,0,0,0
O,9,0,0,0,0,0,0,0,0,0,0,22,18,44,34,11,8,0,0,76,0,0,11,23,0,6,7,31,0
P,4,0,0,0,0,0,0,5,0,0,0,6,0,0,0,251,0,0,0,0,11,0,4,0,16,3,0,0,0
Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,89,13,0,0,5,2,0,18,41,14,66,0,0
R,3,0,9,0,0,0,0,0,1,0,14,0,0,0,0,0,0,60,0,0,65,32,7,0,3,49,27,0,30
S,0,0,0,23,0,0,249,0,0,1,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0
T,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,43,11
U,0,78,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,83,0,2,0,0,6,0,0,95
V,0,0,46,0,7,159,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,29,0,0,0,24,0,6,7
W,0,1,0,0,0,39,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,12,76,0,0,89,0,0,67
X,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,186,0,27,0,0,3
Y,9,5,0,0,0,9,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,123,0,8,0,19
Z,0,0,41,1,0,0,0,0,0,0,0,0,0,0,0,12,0,23,0,0,0,0,17,0,0,196,4,0,6
SCH,0,81,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,170,0,0
CH,0,5,113,0,44,0,112,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
NOTHING,7,0,0,0,0,19,0,0,0,44,5,0,0,24,0,0,3,0,0,0,0,0,5,0,19,0,19,0,155
