,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,49,0,0,0,0,0,0,0,0,22,0,76,0,21,0,0,0,0,0,31,0,0,0,39,20,42,0,0,0
B,0,44,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,11,0,4,0,0,79,0,5,0
C,16,0,130,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,1,0,0,0,0,0,0,142,0
D,0,0,211,32,3,0,0,0,0,4,0,0,0,6,0,8,0,20,0,0,5,0,0,0,0,11,0,0,0
E,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,96,0
F,0,13,0,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
G,0,0,0,12,0,0,33,0,0,0,6,0,0,8,1,0,0,11,0,0,0,0,3,0,14,54,44,114,0
H,0,0,0,0,0,0,28,39,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,130,6,0,93,0
I,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,7,0,41,0,0,0,0,0,0,169,20,15,5,0
J,0,0,0,0,0,0,0,0,32,48,1,0,0,0,0,0,0,0,4,0,0,0,0,0,46,169,0,0,0
K,0,0,0,0,0,0,0,0,0,0,115,51,0,0,0,0,0,0,0,0,8,0,0,8,2,100,5,11,0
L,0,0,0,0,2,0,0,0,0,0,0,243,0,0,0,0,0,5,0,0,24,0,0,0,9,17,0,0,0
M,0,0,0,0,0,0,0,0,0,44,0,6,151,21,0,0,3,0,0,7,0,0,0,0,62,6,0,0,0
N,0,0,0,0,0,0,0,22,0,0,0,50,8,189,0,16,14,0,0,0,0,0,0,0,0,1,0,0,0
O,14,0,0,0,4,0,0,0,0,0,0,0,8,44,29,9,0,0,0,23,23,0,14,18,15,0,0,99,0
P,13,0,0,0,0,0,0,27,0,0,0,0,0,0,0,219,10,0,0,0,0,0,11,0,20,0,0,0,0
Q,0,0,0,0,1,0,5,38,5,0,0,0,0,0,0,15,67,0,0,0,0,40,0,45,37,35,12,0,0
R,10,0,0,0,13,0,0,0,0,0,4,0,0,0,0,0,0,70,0,0,94,60,15,0,0,34,0,0,0
S,0,0,0,0,0,0,237,0,0,24,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
T,14,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,2,25,0,0,0,0,0,0,0,49,4
U,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,80,0,27,0,0,30,0,0,98
V,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,169,0,79,0
W,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,6,81,0,0,169,0,0,22
X,0,0,0,4,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,49,0,0,0
Y,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,81,0,0,0,0
Z,0,0,2,0,0,0,0,0,0,0,29,0,0,0,0,29,0,23,0,0,0,0,21,0,0,196,0,0,0
SCH,0,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,65,0,0,9,168,0,0
CH,0,0,192,9,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,17,12
NOTHING,8,10,0,8,2,1,0,0,1,66,7,0,0,11,0,0,37,0,0,0,0,0,1,0,10,8,25,0,105
