,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,137,0,0,0,2,0,0,0,0,0,0,42,0,28,0,0,0,0,0,55,0,0,0,6,6,24,0,0,0
B,0,71,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,10,18,0,0,0,16,75,0,0,0
C,14,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,51,0
D,0,0,168,18,27,22,12,0,0,0,0,0,3,0,0,41,0,0,0,0,9,0,0,0,0,0,0,0,0
E,0,0,0,0,171,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,21,0,3,0
F,0,74,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
G,0,0,0,9,0,0,21,0,0,0,22,0,0,0,8,0,4,10,23,0,6,0,0,0,38,19,39,101,0
H,0,0,0,0,0,7,2,12,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,208,7,0,60,0
I,0,0,0,0,0,0,0,0,47,0,0,26,0,0,0,12,9,15,0,0,0,0,0,0,187,4,0,0,0
J,0,0,0,0,0,0,0,0,52,7,0,0,0,0,0,0,0,0,9,0,0,0,0,0,87,145,0,0,0
K,0,0,0,0,0,4,0,0,0,0,119,6,0,0,0,0,0,0,0,0,13,0,0,0,62,96,0,0,0
L,0,3,3,0,0,0,0,0,0,0,0,92,0,6,0,0,0,30,0,0,19,9,0,0,94,33,8,3,0
M,0,0,0,1,0,0,0,0,0,9,0,0,203,8,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0
N,0,0,0,0,0,0,9,10,0,0,0,28,0,147,0,32,11,0,0,63,0,0,0,0,0,0,0,0,0
O,9,0,0,0,9,0,0,0,0,0,0,31,31,34,17,5,0,0,0,32,0,13,7,20,15,3,0,74,0
P,10,0,0,0,0,3,34,42,0,0,0,3,0,10,0,135,14,0,0,0,0,0,10,0,39,0,0,0,0
Q,0,0,0,0,0,0,14,26,0,0,0,1,0,23,0,7,63,0,0,0,12,43,0,13,84,7,7,0,0
R,14,0,6,0,3,0,0,0,0,0,3,0,0,0,0,0,0,11,0,0,110,74,0,0,31,48,0,0,0
S,0,0,0,0,0,0,228,0,0,33,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
T,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,12,28,0,0,0,0,0,0,0,57,18
U,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,109,40,8,0,0,30,0,0,93
V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,19,0,0,223,0,0,0,37,0,8,0
W,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,13,82,25,0,123,0,0,48
X,0,0,0,0,32,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,1,0,0,0
Y,0,0,0,0,42,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,85,0,0,0,0
Z,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,65,0,1,0,0,0,4,20,41,0,163,0,0,0
SCH,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,0,0,41,167,0,0
CH,0,0,235,0,19,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,0
NOTHING,0,0,0,6,0,18,0,0,0,111,3,0,3,31,0,0,11,0,0,0,0,1,1,0,16,0,18,4,77
