,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,53,0,0,0,0,0,0,0,0,22,0,73,0,21,0,0,0,0,0,23,0,0,0,40,25,43,0,0,0
B,0,46,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,12,0,4,0,0,86,0,1,0
C,16,0,129,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,5,0,0,0,0,0,0,136,0
D,0,0,207,25,5,0,0,0,0,3,0,0,0,6,0,10,0,21,0,0,9,0,0,0,0,11,0,3,0
E,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,4,0,91,0
F,0,2,0,0,0,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
G,0,0,0,10,0,0,30,0,0,0,6,0,0,11,0,0,0,14,0,0,0,0,3,0,14,55,44,113,0
H,0,0,0,0,0,0,28,39,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,134,7,0,86,0
I,0,0,0,0,0,0,0,0,31,0,0,7,0,0,0,7,0,47,0,0,0,0,0,0,168,24,11,5,0
J,0,0,0,0,0,0,0,0,31,49,1,0,0,0,0,0,0,0,3,0,0,0,0,0,40,176,0,0,0
K,0,0,0,0,0,0,0,0,0,0,108,63,0,0,0,0,0,0,0,0,1,0,0,12,2,103,3,8,0
L,0,0,0,0,3,0,0,0,0,0,0,244,0,0,0,0,0,3,0,0,25,0,0,0,8,17,0,0,0
M,0,0,0,0,0,0,0,0,0,45,0,11,151,20,0,0,6,0,0,7,0,0,0,0,46,14,0,0,0
N,0,0,0,0,0,0,0,21,0,0,0,47,10,192,0,14,13,0,0,0,0,0,0,0,0,3,0,0,0
O,14,0,0,0,3,0,0,0,0,0,0,0,5,44,32,9,0,0,0,26,26,0,14,18,15,0,0,94,0
P,13,0,0,0,0,0,0,25,0,0,0,0,0,0,0,221,10,0,0,0,0,0,12,0,19,0,0,0,0
Q,0,0,0,0,2,0,5,36,1,0,0,0,0,0,0,13,68,0,0,0,0,40,0,44,42,36,13,0,0
R,8,0,0,0,14,0,0,0,0,0,4,0,0,0,0,0,0,65,0,0,98,62,14,0,0,35,0,0,0
S,0,0,0,0,0,0,241,0,0,24,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
T,16,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,54,0
U,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,82,0,24,0,0,27,0,0,95
V,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,176,0,79,0
W,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,6,82,0,0,170,0,0,21
X,0,0,0,3,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,48,0,0,0
Y,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,78,0,0,0,0
Z,0,0,2,0,0,0,0,0,0,0,26,0,0,0,0,24,0,30,0,0,0,0,22,0,0,196,0,0,0
SCH,0,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,63,0,0,9,163,0,0
CH,0,0,190,8,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,16,7
NOTHING,8,10,0,3,4,4,0,0,6,58,13,0,0,11,0,0,36,0,0,0,0,0,1,0,9,8,30,0,99
