,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,55,0,0,0,0,0,0,0,0,20,0,100,0,30,0,0,0,2,0,68,0,0,0,0,0,25,0,0,0
B,0,69,46,31,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,7,41,0,0,0,0,4,0,0,0
C,19,0,244,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,25,0
D,0,0,211,14,4,7,0,13,0,3,0,0,0,1,0,26,0,15,0,0,6,0,0,0,0,0,0,0,0
E,0,0,0,13,191,0,0,0,0,0,0,0,0,0,10,0,0,0,18,0,0,0,0,0,39,0,0,29,0
F,0,73,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
G,0,0,0,8,0,0,37,0,0,0,7,0,0,0,13,0,4,8,14,0,0,0,0,0,59,0,58,87,5
H,0,0,0,0,0,0,31,13,0,6,0,0,0,0,17,0,0,0,6,0,0,0,0,0,126,0,0,101,0
I,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,67,6,0,0,0,0,0,151,18,0,0,0
J,11,0,0,0,1,0,0,0,24,18,0,0,0,9,0,0,0,0,43,0,0,0,0,0,60,134,0,0,0
K,19,0,0,0,0,0,0,0,0,0,88,20,0,0,0,0,0,0,0,0,32,0,0,0,59,60,7,15,0
L,0,20,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,26,0,0,10,18,0,0,59,16,13,0,0
M,0,0,0,0,0,0,0,0,0,10,8,0,146,65,0,0,0,0,4,0,0,0,0,0,65,0,2,0,0
N,0,0,0,0,0,0,4,0,0,0,0,45,0,127,0,47,68,0,0,9,0,0,0,0,0,0,0,0,0
O,12,0,0,0,7,0,0,0,0,0,0,9,16,49,34,8,0,0,18,18,0,11,11,15,0,0,14,78,0
P,16,0,0,0,0,0,6,22,0,0,0,0,0,0,0,211,11,0,0,0,0,0,20,1,13,0,0,0,0
Q,0,0,0,0,1,0,0,26,7,0,0,1,0,29,0,10,44,2,0,20,10,42,0,2,89,1,16,0,0
R,14,0,10,0,11,0,0,0,0,0,4,0,0,0,0,0,0,66,1,0,77,96,6,0,15,0,0,0,0
S,0,0,0,0,15,0,251,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
T,0,0,0,0,5,0,193,0,0,0,0,0,0,0,0,0,0,0,4,41,0,0,0,0,0,0,0,43,14
U,0,32,0,0,18,0,37,0,0,0,0,0,0,0,0,0,0,42,0,0,30,0,0,0,0,50,0,0,91
V,0,0,0,0,12,32,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,213,0,0,0,24,0,4,3
W,0,0,0,6,15,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,11,62,0,0,120,0,0,55
X,0,0,0,0,21,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0
Y,4,0,0,0,40,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,112,0,0,0,0
Z,0,0,21,0,1,0,3,0,0,0,0,0,0,0,0,73,0,7,0,0,0,0,10,0,0,185,0,0,0
SCH,0,21,16,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,42,0,0,36,173,0,0
CH,0,0,41,0,48,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
NOTHING,3,27,0,3,0,23,0,0,0,73,0,0,0,14,0,0,13,0,0,0,0,0,1,0,16,0,32,0,95
