,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,28,0,0,0,47,0,0,0,0,37,0,15,0,43,0,0,0,0,0,24,0,0,0,29,0,77,0,0,0
B,0,113,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,120,0,6,0,29,7,0,0,0
C,0,0,153,0,20,0,2,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0,0,105,5
D,0,0,125,0,114,0,14,0,0,0,0,0,0,0,0,40,0,0,0,0,7,0,0,0,0,0,0,0,0
E,0,0,0,0,195,29,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,15,1,9,0
F,0,146,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,22,0,0,0,7,0,0,0,17,0,0,12,23,0,64,0,0,0,35,16,60,17,27
H,0,0,0,0,0,3,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,76,22,0
I,0,0,0,0,0,0,0,9,68,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,166,10,19,0,0
J,0,0,0,0,20,0,0,0,45,21,0,0,0,4,0,0,0,0,50,0,0,0,0,0,78,82,0,0,0
K,0,44,0,0,0,0,0,0,0,6,76,7,0,0,0,0,0,0,0,0,31,0,5,7,61,29,24,10,0
L,0,0,0,0,0,0,0,41,0,0,0,27,0,0,0,0,0,0,0,0,74,0,0,0,70,11,77,0,0
M,0,0,0,6,0,0,1,0,0,14,0,40,173,0,0,0,0,0,4,0,0,0,0,0,45,0,17,0,0
N,0,0,0,0,0,0,0,33,0,0,0,29,0,207,0,6,0,0,0,24,0,0,0,0,0,1,0,0,0
O,6,0,0,0,41,3,21,17,0,15,0,0,41,10,9,5,0,0,0,0,13,0,26,0,9,0,28,44,12
P,4,0,0,0,22,0,11,4,0,0,0,0,0,0,0,246,0,0,0,0,0,2,1,0,8,2,0,0,0
Q,0,0,0,0,12,0,0,4,0,0,0,0,0,0,0,80,50,13,0,0,32,7,0,13,16,19,54,0,0
R,0,1,0,0,21,0,1,0,0,0,0,0,0,0,0,0,0,77,0,0,99,49,34,0,3,13,2,0,0
S,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,39,0
T,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,3,42,0,0,0,0,0,0,0,59,0
U,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,173,0,6,0,0,10,0,0,72
V,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,68,0,30,0
W,0,11,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,94,0,0,167,0,0,0
X,0,0,0,0,49,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0
Y,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,23,187,0,0,0,0
Z,0,0,0,0,55,0,0,0,0,0,2,0,0,0,0,0,0,11,0,0,0,39,0,20,0,173,0,0,0
SCH,0,25,6,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,2,42,0,0,7,202,0,2
CH,0,0,0,0,17,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,166,0
NOTHING,0,2,0,3,0,16,0,9,0,34,4,0,0,28,2,21,0,0,0,0,11,0,1,0,26,7,35,0,101
