,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,56,0,0,4,25,0,0,0,0,75,0,21,0,18,1,0,0,0,0,8,0,0,0,59,0,33,0,0,0
B,0,60,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,41,0,0,0,23,42,6,0,2
C,15,0,157,6,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0
D,0,0,215,18,0,0,10,3,0,8,0,0,0,9,0,0,0,11,3,0,6,0,0,0,0,5,0,12,0
E,0,0,0,0,195,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,28,0,57,0
F,0,100,0,0,0,199,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,5,1,0,0,4,0,0,0,22,0,0,27,24,0,0,0,0,0,5,56,100,46,10
H,0,0,0,0,0,0,8,46,0,0,0,0,0,0,58,0,8,0,0,0,0,0,0,0,82,16,46,36,0
I,0,0,0,0,0,0,0,0,42,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,234,10,0,0,0
J,2,0,0,0,0,0,0,0,31,86,0,0,0,0,0,0,0,0,6,0,0,0,0,0,57,118,0,0,0
K,0,0,0,0,0,0,0,0,0,1,17,5,4,0,0,0,0,0,0,0,0,0,0,35,98,132,8,0,0
L,0,0,0,0,0,0,0,0,0,0,0,69,0,3,0,0,0,0,0,0,40,2,0,0,124,0,62,0,0
M,0,0,0,2,0,0,0,0,0,37,0,0,179,0,0,0,0,0,0,0,0,0,1,0,77,0,4,0,0
N,0,0,0,3,0,0,2,50,0,30,0,11,0,57,32,22,61,0,0,25,0,0,0,0,0,0,7,0,0
O,22,0,0,0,10,0,0,0,0,0,0,0,49,10,30,16,2,0,0,18,2,0,6,22,0,1,26,82,4
P,9,0,0,0,8,0,0,10,0,0,0,2,0,0,0,180,11,0,0,0,8,0,29,0,17,26,0,0,0
Q,0,0,0,0,13,0,0,17,0,0,5,0,0,0,0,8,69,0,0,0,0,9,0,53,30,26,70,0,0
R,35,0,4,0,6,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0,67,82,13,0,34,18,23,0,0
S,0,0,0,0,0,0,219,0,0,37,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0
T,0,0,2,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,4,40,0,0,0,0,0,0,0,51,0
U,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,55,0,0,0,0,53,0,0,95
V,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,123,0,58,0
W,0,6,0,3,0,24,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,17,79,0,0,159,0,0,6
X,0,0,0,0,2,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0
Y,25,0,0,0,17,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,25,219,0,0,0,0
Z,0,8,17,0,73,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,12,4,11,0,116,0,6,0
SCH,0,38,13,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,8,38,0,0,65,126,0,0
CH,25,0,0,0,94,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,83,0
NOTHING,0,0,0,5,0,4,7,0,0,63,2,0,0,10,4,0,7,0,0,0,0,1,2,0,33,3,38,0,121
