,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,286,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1
B,0,269,0,0,0,1,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,8,0,0,0,7,1
C,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
D,0,0,1,287,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,1,2,3
E,0,0,0,0,286,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
F,0,0,0,0,0,290,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,298,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
H,0,0,0,0,0,0,0,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,0,0,0,0,0,0,1,0,288,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
J,0,0,0,0,0,0,0,0,0,261,0,1,0,1,7,0,4,4,5,0,0,0,0,0,0,0,0,5,3
K,0,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
L,0,0,0,0,0,0,0,3,0,0,0,273,0,0,0,0,2,3,1,0,0,0,0,2,0,0,0,2,2
M,0,0,3,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
N,0,0,0,0,0,0,0,0,0,2,0,0,0,278,8,1,2,0,2,0,1,0,0,0,0,0,0,2,12
O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,2,0,0,0,0,0,0,0,0,0,0,0,0,0
P,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,299,0,6,0,15,1,0,0,0,0,0,0,2,0
Q,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,314,0,7,0,0,0,0,0,0,0,0,0,0
R,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0
S,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,4,1,285,0,2,0,0,1,0,0,0,0,1
T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,295,0,0,0,0,0,0,0,0,0
U,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,304,0,0,0,0,0,0,0,0
V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0
W,0,0,4,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,318,0,3,0,0,0,0
X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,0,0,0,0,0
Y,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,3,12,0,0,0,262,0,0,1,2
Z,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,1,1,0,301,1,0,0
SCH,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,264,0,0
CH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0
NOTHING,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,3,0,4,0,0,0,0,0,0,6,281
