,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,271,0,0,0,1,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,6,3
B,5,277,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0
C,0,0,268,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
D,0,0,0,297,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
E,0,0,0,0,286,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0
F,0,0,0,0,5,259,0,1,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,8,0,1,8
G,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,4,0,11,0,0,0,0
H,0,0,0,0,0,0,0,306,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
I,0,0,0,0,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J,0,0,0,4,0,0,0,0,0,267,0,1,0,1,4,0,7,0,1,0,0,0,0,0,1,0,0,4,1
K,0,0,0,0,0,0,0,0,0,0,274,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,3,0
L,0,0,0,0,0,0,0,0,1,3,12,242,0,0,0,0,13,1,0,0,4,0,0,2,0,0,0,2,6
M,0,0,0,0,0,0,1,0,0,0,0,0,264,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0
N,0,0,0,1,1,0,0,0,0,3,0,1,0,265,14,1,4,0,1,0,1,0,0,0,0,0,0,8,9
O,0,0,0,0,0,0,0,0,0,0,0,1,0,0,259,22,2,0,0,0,0,0,0,0,2,0,0,10,0
P,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,304,1,3,0,2,2,0,0,0,3,0,0,4,0
Q,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,313,0,2,0,0,0,0,0,0,0,0,1,2
R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,304,0,0,2,0,0,0,0,0,0,1,1
S,0,0,2,0,0,0,0,0,1,12,2,0,0,0,2,0,34,0,215,1,15,0,0,1,0,1,0,0,13
T,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,284,0,0,0,0,1,0,0,0,0
U,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,300,0,0,0,0,0,0,1,0
V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0
W,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,0,13,0,0,0,5
X,0,4,0,4,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,301,0,0,0,0,0
Y,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,2
Z,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,305,0,0,0
SCH,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,11,256,0,0
CH,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,285,4
NOTHING,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,8,290
