,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,279,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,3,0,1,6,0,4
B,5,260,1,0,0,0,0,0,0,7,1,3,3,3,0,0,1,0,0,0,1,0,0,4,0,0,0,2,3
C,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
D,0,0,10,275,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,1,0,0,0,0,0,2,0,5
E,0,0,0,0,255,23,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,1,0
F,0,0,0,0,0,217,0,8,15,0,0,1,0,0,2,0,0,0,1,0,0,0,0,8,0,28,0,0,13
G,0,0,0,0,0,0,279,0,0,0,0,0,0,0,0,0,6,0,0,0,18,0,0,0,0,1,0,0,0
H,0,0,0,0,0,0,0,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,0,0,0,0,0,0,0,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J,0,0,1,0,0,0,0,0,0,264,0,0,0,2,9,0,2,0,1,0,2,0,0,0,0,0,0,6,2
K,0,0,0,0,0,0,0,2,0,0,269,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,3
L,0,0,0,0,0,0,0,5,0,2,6,235,0,0,0,0,11,0,0,0,18,0,0,4,0,0,0,0,6
M,0,0,0,0,0,0,1,0,0,0,0,0,254,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1
N,0,0,0,0,0,0,0,4,0,6,0,1,0,249,10,1,14,0,8,0,9,0,0,0,0,0,0,1,5
O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,0,0,4,1,0,0,0,0,0,5,0,0,0,7,14,277,1,2,0,1,9,0,0,0,1,0,0,2,3
Q,0,0,3,0,0,0,0,3,0,0,4,0,0,0,0,2,279,0,5,0,20,0,0,2,0,0,0,1,4
R,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,25,273,0,0,3,0,0,0,0,0,0,0,8
S,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,12,0,267,0,7,0,0,0,0,0,0,0,4
T,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,286,0,0,0,0,0,0,0,0,0
U,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,304,0,0,0,0,0,0,0,0
V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0
W,0,0,16,0,0,0,11,1,0,0,0,0,1,0,0,0,3,0,0,0,19,0,274,0,4,0,0,0,4
X,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,304,0,1,0,0,0
Y,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,27,2,0,0,245,0,0,0,5
Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,305,6,0,0
SCH,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,267,0,0
CH,0,0,5,0,0,0,0,0,0,0,4,0,0,0,1,0,13,1,0,0,1,0,0,0,0,2,1,250,19
NOTHING,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,290
