,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,152,0,0,9,1,13,12,0,10,0,42,3,1,0,0,0,7,2,5,0,15,0,3,12,2,2,7,0,0
B,17,115,0,0,8,0,0,0,0,11,9,7,34,2,6,4,8,28,0,1,13,0,0,1,31,0,0,0,0
C,0,0,109,9,17,0,4,0,6,3,4,0,0,5,1,8,8,4,4,0,78,0,7,3,6,0,0,0,0
D,5,0,3,179,3,6,1,3,15,6,3,0,2,0,3,5,8,6,1,8,26,0,8,0,10,0,0,1,0
E,0,0,0,1,205,16,0,0,42,3,4,0,2,0,0,2,0,10,0,0,7,0,0,0,1,2,0,0,0
F,3,0,4,0,29,136,5,6,58,2,25,0,0,0,0,0,2,1,7,3,7,0,0,4,0,0,0,0,0
G,0,0,0,1,5,0,148,5,5,0,20,0,0,0,0,0,4,0,1,0,54,0,15,17,10,19,0,0,0
H,0,0,0,0,0,6,1,243,28,0,0,0,0,0,0,0,2,0,6,0,13,0,0,5,0,4,0,0,0
I,0,0,0,2,4,0,1,2,242,2,3,0,0,0,0,0,1,0,12,0,9,0,5,1,7,0,0,0,1
J,0,1,0,0,6,0,4,6,1,174,18,0,7,0,12,6,11,16,3,0,11,0,1,4,10,0,0,0,0
K,0,0,0,2,6,0,2,2,12,0,208,0,2,0,0,1,7,5,4,1,14,0,9,5,0,0,0,0,0
L,0,0,0,3,2,4,0,5,10,7,104,81,0,2,3,5,7,4,3,3,29,0,2,4,4,4,0,0,0
M,0,0,0,0,11,1,25,0,2,0,8,0,155,0,0,0,0,0,0,0,42,0,17,0,3,5,0,0,0
N,0,0,0,4,0,2,2,5,8,26,26,0,0,124,13,34,4,7,12,14,13,0,0,0,14,0,0,1,0
O,0,2,0,5,1,2,0,8,3,11,0,0,0,10,171,37,0,8,14,7,3,0,0,0,15,0,0,1,0
P,0,1,0,8,0,1,0,2,0,14,0,0,0,7,19,248,0,3,0,21,4,0,0,0,0,0,0,0,0
Q,0,0,0,0,10,2,5,5,2,15,24,0,0,0,6,1,203,5,31,1,6,0,0,2,3,0,0,1,1
R,0,0,0,1,0,1,7,6,4,9,18,1,0,0,0,4,9,196,12,1,25,0,0,9,6,0,0,0,0
S,0,0,7,1,0,0,0,5,17,2,12,0,1,4,0,6,4,7,195,2,31,1,3,1,1,0,0,0,0
T,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,10,0,30,3,239,0,0,0,0,8,0,0,0,0
U,0,0,0,1,0,1,10,0,1,5,54,0,4,0,0,1,2,6,4,1,204,0,1,0,10,0,0,0,0
V,0,0,0,0,0,0,1,0,2,0,5,0,0,0,0,0,1,0,0,0,3,281,0,0,1,0,0,0,0
W,0,0,0,2,1,0,17,1,6,2,35,0,18,0,0,0,0,5,2,1,16,0,206,7,9,5,0,0,0
X,2,0,0,0,13,10,5,0,27,0,71,2,1,0,0,0,0,1,0,2,9,0,0,160,6,5,0,0,0
Y,0,0,0,2,13,0,5,0,1,1,9,0,0,0,0,7,5,5,0,3,25,0,16,2,191,2,0,0,0
Z,0,0,0,5,1,0,0,0,3,0,14,0,4,0,0,0,0,0,0,0,37,0,12,1,0,236,2,0,0
SCH,0,0,0,0,0,0,0,0,13,0,4,0,0,0,0,0,0,0,0,0,14,0,3,2,0,71,167,0,0
CH,0,5,5,5,32,0,7,1,5,10,25,0,0,0,0,0,3,20,7,7,13,0,2,11,20,1,0,117,0
NOTHING,3,4,7,18,9,2,15,3,26,0,39,0,2,0,3,2,4,21,35,1,43,2,22,3,0,4,0,0,35
