,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,0,0,4,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,290,0,0,0,0,0,0
B,0,0,4,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,275,8,0,0,0,0,1
C,0,0,10,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,4,0,0,0,0,0
D,0,0,12,0,0,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,267,2,0,0,0,0,0
E,0,0,5,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,275,3,1,0,0,0,0
F,0,0,17,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,0,0,0,0,0
G,0,0,24,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,272,3,0,0,0,0,0
H,0,0,12,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,0,0,0,0,0,0
I,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,7,0,0,0,0,0
J,0,0,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,283,0,0,0,0,0,0
K,0,0,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,1,0,0,0,0,0
L,0,0,4,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,279,0,0,0,0,0,0
M,0,0,27,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,234,3,0,0,0,0,0
N,0,0,11,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,293,1,0,0,0,0,0
O,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,2,0,0,0,0,0
P,0,0,7,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0
Q,0,0,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,3,0,0,0,0,0
R,0,0,9,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,289,4,0,0,0,0,0
S,0,0,4,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,290,0,0,0,0,0,0
T,0,0,14,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,271,4,0,0,0,0,1
U,0,0,35,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,2,0,0,0,0,0
V,0,0,46,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,245,1,0,0,2,0,0
W,0,0,18,7,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,8,0,0,0,0,0
X,0,0,22,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,285,2,0,0,0,0,0
Y,0,0,35,2,0,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,243,1,0,0,0,0,0
Z,0,0,41,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,2,0,0,4,0,0
SCH,0,0,28,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,238,5,0,0,0,0,0
CH,0,0,22,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,264,1,0,0,4,0,0
NOTHING,0,0,13,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,6,0,0,0,0,0
