,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,244,0,0,0,0,21,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,5,6
B,14,263,0,0,0,1,0,0,0,0,0,3,1,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
C,0,0,276,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,0,0,0,279,1,5,0,0,2,2,1,0,1,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,3
E,0,0,0,0,240,40,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4
F,0,0,0,0,0,283,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
G,0,0,3,5,0,3,252,1,1,1,0,0,4,0,0,0,2,0,0,0,2,0,24,0,5,0,0,1,0
H,0,0,0,0,0,2,0,301,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
I,0,0,0,0,0,0,0,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J,0,2,1,3,0,0,0,1,0,260,0,1,2,7,0,0,0,3,1,0,0,0,4,4,0,0,0,2,0
K,0,0,1,0,0,5,0,0,3,0,254,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,5,0
L,0,0,2,7,0,1,0,0,5,11,28,159,2,2,0,0,31,5,0,0,4,0,0,21,0,0,0,3,6
M,0,0,4,0,0,2,8,0,0,0,0,0,251,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
N,0,0,0,2,0,1,1,0,1,3,1,0,0,284,1,0,1,0,1,0,0,0,0,0,0,0,0,7,6
O,0,0,0,0,0,0,0,0,0,6,2,4,0,21,235,16,2,4,0,0,0,0,0,0,1,0,0,6,0
P,0,0,2,4,0,4,0,0,0,12,0,0,0,16,1,274,2,4,0,0,0,0,0,0,0,0,0,8,0
Q,0,0,4,0,2,1,0,1,7,13,7,3,0,0,0,0,222,1,1,0,20,0,0,6,0,0,0,20,13
R,0,1,0,0,0,7,0,0,2,0,3,0,0,0,0,0,3,273,0,0,5,0,0,9,0,0,0,5,3
S,0,0,7,0,0,1,0,10,25,23,12,0,1,3,3,1,24,6,130,1,7,0,0,7,0,4,0,1,33
T,0,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,270,0,0,0,0,0,0,0,1,0
U,0,0,8,2,0,0,9,0,0,1,11,0,14,0,0,0,5,0,0,0,241,0,2,1,0,0,0,2,7
V,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,0,0,0,0
W,0,0,36,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,274,1,4,0,0,2,2
X,0,12,1,3,0,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,285,0,0,0,2,2
Y,0,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,2,2,275,0,0,0,0
Z,0,0,1,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,304,0,0,2
SCH,0,0,0,0,0,0,4,6,3,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,92,162,0,0
CH,0,0,0,1,1,3,0,0,2,4,4,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,270,8
NOTHING,2,6,1,0,0,2,0,0,1,0,0,0,3,0,0,0,1,2,0,0,7,0,1,5,0,1,0,6,265
