,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,285,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,8
B,4,272,0,0,0,0,0,0,0,0,1,3,2,8,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2
C,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,0,0,0,284,0,1,0,0,0,0,0,2,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,7
E,0,0,0,0,265,27,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
F,0,0,0,0,1,291,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
G,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0
H,0,0,0,0,0,2,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
I,0,0,0,0,0,0,0,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J,0,0,0,0,0,0,0,0,0,268,0,0,0,0,2,0,1,0,4,0,0,0,0,0,0,0,0,0,15
K,0,0,0,0,0,0,0,0,0,0,271,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6
L,0,0,0,0,0,0,0,0,0,0,0,280,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,3
M,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
N,0,0,0,0,0,0,0,0,0,1,0,2,0,289,1,0,0,0,0,0,1,0,0,0,0,0,0,0,11
O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,8,0,0,4,0,0,0,0,0,0,0,0,0,0
P,0,2,3,0,0,4,0,0,0,0,0,1,0,11,0,306,0,0,0,1,0,0,0,0,0,0,0,0,1
Q,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,286,0,30,0,0,0,0,0,0,0,0,0,4
R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,11
S,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,288,0,0,0,0,1,0,0,0,0,6
T,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,15,0,275,0,0,0,0,0,0,0,0,0
U,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0
V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0
W,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,0,3,0,0,0,1
X,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,0,0,0,0,6
Y,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,2
Z,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,307,0,0,0
SCH,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,260,0,0
CH,0,0,12,0,0,1,0,0,0,1,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,242,33
NOTHING,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302
