,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,261,0,0,0,0,1,0,0,0,0,16,1,1,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,8
B,10,237,3,0,0,0,0,0,0,5,1,5,4,7,0,1,0,5,0,0,1,0,0,11,1,0,0,1,3
C,0,0,273,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
D,4,0,3,255,0,4,0,0,2,1,1,2,3,0,1,8,1,9,1,0,3,0,0,4,0,0,0,0,2
E,0,0,0,0,274,9,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0
F,0,0,0,0,9,241,0,1,2,3,0,0,0,0,1,0,0,1,2,0,0,0,0,6,0,15,0,0,10
G,0,0,0,0,0,0,264,0,0,1,0,0,0,0,0,0,3,0,0,0,8,0,16,5,0,4,0,0,0
H,0,0,0,0,0,0,0,307,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
I,0,0,0,0,0,0,3,0,287,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
J,0,0,0,0,0,0,0,1,0,261,0,0,1,0,3,6,4,4,3,0,0,0,4,2,0,0,0,0,0
K,0,0,0,0,0,0,1,0,0,0,258,0,0,0,0,0,2,0,0,0,2,0,0,13,0,1,0,0,0
L,3,0,0,0,0,0,0,0,0,3,11,208,2,1,0,3,5,19,0,0,10,0,0,19,0,0,0,0,3
M,0,0,1,0,0,0,4,0,0,0,0,0,257,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0
N,0,0,0,0,0,0,3,0,0,16,0,0,0,245,22,7,6,2,2,0,0,0,0,1,0,0,0,2,3
O,0,0,0,0,0,0,0,2,0,12,1,0,0,5,198,70,0,7,2,0,0,0,0,0,2,0,0,0,0
P,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,312,0,5,0,0,0,0,0,0,1,0,0,0,0
Q,0,0,4,0,0,0,0,0,0,6,5,6,1,0,0,4,255,1,11,0,18,0,0,5,0,0,0,5,2
R,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,306,0,0,2,0,0,0,0,0,0,0,0
S,0,0,2,0,0,0,0,5,0,16,6,0,0,0,3,5,6,2,225,0,15,0,1,5,0,5,0,0,3
T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,25,0,257,0,0,0,0,0,0,0,0,0
U,0,0,0,0,0,0,1,0,0,2,1,0,4,0,0,0,1,0,0,0,295,0,2,0,0,0,0,0,0
V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,1,0,0,0
W,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,321,0,0,2,0,0,0
X,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,307,0,1,0,0,0
Y,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,4,1,10,0,0,2,0,4,0,252,0,0,0,2
Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,308,0,0,0
SCH,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,64,206,0,0
CH,0,0,4,0,0,0,2,1,0,4,1,0,0,1,0,5,1,9,0,0,0,0,0,2,0,2,0,265,1
NOTHING,3,0,2,0,0,0,2,0,0,4,0,0,1,0,0,1,0,3,1,0,11,0,16,6,0,2,0,1,252
