,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0
B,8,279,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
C,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
D,0,0,1,288,0,1,1,0,1,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,2,0,1
E,0,0,0,0,269,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,0
F,0,0,0,0,0,271,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,0,1
G,0,0,0,0,0,0,292,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0
H,0,0,0,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,0,0,0,0,0,0,0,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J,0,0,0,0,0,0,0,0,0,278,0,0,0,0,2,0,5,1,2,0,0,0,0,0,0,0,0,2,0
K,0,0,0,0,0,0,1,1,0,0,268,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0
L,0,0,0,0,0,0,0,3,3,5,4,240,0,0,0,4,9,3,2,0,6,0,0,8,0,0,0,0,1
M,0,0,1,0,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
N,0,0,0,0,0,0,0,0,0,13,0,0,0,288,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0
O,0,0,0,0,0,0,0,0,0,0,0,0,0,1,232,52,2,0,0,0,0,0,0,0,2,0,0,8,0
P,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,313,0,2,0,0,0,0,0,0,0,0,0,0,2
Q,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,308,0,8,0,0,0,0,0,0,0,0,0,1
R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,4
S,0,0,2,0,0,1,0,2,1,11,2,0,0,0,0,0,5,0,271,0,1,0,0,1,0,0,0,0,2
T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,296,0,0,0,0,0,0,0,0,0
U,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,304,0,0,0,0,0,0,0,0
V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0
W,0,0,11,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,316,0,0,0,0,0,0
X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0
Y,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,279,0,0,0,1
Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,296,12,0,0
SCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,272,0,0
CH,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,277,4
NOTHING,0,3,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,1,2,0,3,0,0,1,0,0,4,5,281
