,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,277,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,3
B,7,272,0,0,0,0,0,0,0,0,0,0,6,2,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0
C,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1
D,0,0,2,274,0,4,0,0,0,0,0,1,0,0,0,0,17,0,1,0,2,0,1,0,0,0,0,1,0
E,0,0,0,0,247,44,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,0,0,0,0,0,292,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,261,0,0,0,0,0,1,0,0,0,9,0,0,0,3,0,25,0,5,0,0,0,0
H,0,0,0,0,0,0,0,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,0,0,0,0,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
J,0,0,0,0,0,0,0,0,0,272,0,0,0,0,9,0,6,0,3,0,0,0,0,0,0,0,0,0,0
K,0,0,0,0,0,0,0,0,0,0,273,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
L,0,0,0,0,0,1,0,0,0,11,3,231,0,0,0,0,20,0,0,0,2,0,0,4,0,0,0,0,15
M,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
N,0,0,0,0,0,0,1,0,0,16,0,0,0,277,6,0,2,0,4,0,0,0,0,0,0,0,0,0,3
O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,16,0,0,0,0,0,0,0,0,0,0,0,1,0
P,0,0,0,0,0,2,0,0,0,1,0,0,0,6,2,305,4,0,0,5,2,0,0,0,0,0,0,0,0
Q,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,310,0,9,0,0,0,0,0,0,0,0,0,0
R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,299,0,0,0,0,0,0,0,0,0,0,0
S,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,278,1,0,0,0,0,0,0,0,0,3
T,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,282,0,0,0,0,0,0,0,0,0
U,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,290,0,7,0,0,0,0,0,0
V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0
W,0,0,6,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,308,0,13,0,0,0,0
X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,311,0,0,0,0,0
Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,0,0,0
Z,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,1,296,5,0,0
SCH,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,20,248,0,0
CH,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,5,0,0,0,2,0,0,0,1,0,0,286,1
NOTHING,0,3,4,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,10,0,1,0,1,0,0,4,276
