,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,207,1,0,2,2,0,0,2,1,0,48,11,1,0,0,0,0,0,1,0,0,0,1,16,0,0,1,2,2
B,1,248,0,4,1,1,0,0,0,0,3,8,2,8,3,0,1,0,2,0,0,0,1,7,3,0,0,1,0
C,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0
D,0,0,0,290,0,2,0,0,0,1,2,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,2
E,0,0,0,0,278,5,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
F,0,0,0,0,5,265,0,4,8,0,1,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,3,0
G,0,0,0,1,0,0,217,2,0,4,6,1,7,0,0,0,7,0,1,0,28,0,21,4,3,0,1,0,0
H,0,0,0,0,0,0,0,299,1,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0
I,0,0,0,0,0,0,0,0,291,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
J,0,0,0,6,2,0,0,1,0,257,0,0,0,0,1,0,15,1,3,0,0,0,0,0,0,0,0,0,5
K,0,0,0,0,0,0,0,0,2,0,273,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0
L,0,0,0,6,0,0,0,0,0,0,30,215,0,5,0,0,8,0,14,0,5,0,0,2,0,0,0,0,2
M,0,0,2,0,0,0,0,0,0,0,3,0,238,0,0,0,5,0,1,0,3,0,14,0,0,0,0,0,0
N,0,0,0,3,0,1,0,2,0,8,0,4,0,250,15,0,4,0,14,0,6,0,0,0,0,0,0,0,1
O,0,0,3,0,0,0,0,1,0,4,2,3,0,4,253,11,2,1,8,2,0,0,0,0,1,0,0,3,0
P,0,0,0,0,2,2,0,0,0,19,0,2,0,6,6,266,3,4,0,10,6,0,0,0,3,0,0,0,0
Q,0,0,0,0,1,0,0,1,0,2,7,0,0,0,0,0,274,0,32,0,2,0,0,0,0,0,0,1,0
R,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,10,284,8,0,0,0,0,0,0,0,0,4,0
S,0,0,1,0,0,1,0,0,1,0,2,0,0,0,0,0,4,0,283,1,6,0,0,0,0,0,0,0,1
T,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,281,0,0,0,0,0,0,0,0,0
U,0,0,3,0,0,0,2,0,0,0,3,0,8,0,0,0,2,0,1,0,285,0,1,0,0,0,0,0,0
V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,0,0,1,0
W,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,4,0,303,0,3,0,1,0,0
X,0,0,0,3,0,0,0,1,0,2,18,1,0,2,0,0,12,2,0,0,0,0,0,272,0,0,0,0,0
Y,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,2,0,0,0,278,0,0,0,1
Z,0,0,11,0,0,0,0,1,7,0,1,0,9,0,0,0,1,0,5,0,19,0,1,0,1,219,39,0,0
SCH,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,263,0,0
CH,0,0,6,0,9,0,0,0,0,0,6,0,0,0,1,0,13,0,0,0,4,0,0,0,7,0,0,243,8
NOTHING,0,3,8,4,8,1,1,0,2,0,2,1,9,0,0,0,2,1,9,0,25,0,11,1,5,0,5,8,199
