,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,233,0,0,3,7,0,0,0,2,0,18,2,0,1,0,0,0,0,1,0,7,0,0,10,0,2,1,1,11
B,18,192,0,3,43,0,0,0,0,0,1,4,9,1,0,0,0,0,0,0,2,0,0,13,1,0,0,4,3
C,0,0,225,7,0,0,1,0,0,0,0,0,3,1,0,0,6,0,0,0,5,0,1,1,0,0,0,10,16
D,0,1,0,261,8,0,0,0,2,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2,0,0,0,4,12
E,0,0,0,0,289,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
F,0,0,0,0,87,158,0,9,22,0,0,0,0,2,0,0,0,0,0,0,0,0,1,9,0,0,0,4,0
G,0,0,1,8,14,2,154,6,0,0,13,5,9,0,0,0,2,0,0,0,28,0,13,31,5,2,0,2,9
H,0,0,0,0,0,0,0,276,0,0,3,1,0,1,0,0,0,0,4,0,10,1,0,2,0,12,0,0,0
I,0,0,0,2,10,0,0,10,252,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,8
J,0,2,0,11,43,0,0,4,0,131,3,0,3,11,2,0,15,7,0,0,0,0,27,15,0,0,0,14,2
K,0,0,0,0,5,2,0,11,12,0,165,2,3,0,0,0,6,0,0,0,36,2,3,8,0,11,0,5,8
L,1,0,0,11,1,6,0,7,7,7,21,150,6,11,0,0,4,0,1,0,26,1,0,9,0,0,0,8,11
M,0,0,2,1,0,0,0,0,0,0,2,0,231,4,0,0,0,0,0,0,11,0,8,1,0,2,0,1,6
N,0,6,0,3,25,1,0,2,3,1,2,2,0,218,5,0,0,0,7,0,0,1,0,1,0,0,0,19,12
O,0,1,3,7,3,1,0,8,3,0,0,0,0,22,224,6,1,3,1,0,0,0,0,0,1,0,0,13,2
P,0,3,10,44,14,1,0,0,0,14,0,0,0,27,28,155,1,2,0,6,5,0,0,4,1,0,0,13,0
Q,0,0,8,10,34,4,0,5,2,0,2,0,0,0,0,0,110,0,20,0,48,0,0,16,0,1,0,42,20
R,2,4,3,25,19,1,0,1,1,2,4,0,0,0,0,0,3,170,1,0,12,0,0,31,0,2,0,28,2
S,0,0,8,6,2,0,0,8,20,0,5,4,0,4,2,2,6,1,141,1,39,0,0,11,0,7,1,17,14
T,1,1,0,14,24,0,0,0,0,0,0,0,0,5,0,0,0,18,0,185,14,0,0,5,0,0,0,20,10
U,0,0,0,9,0,0,1,0,1,0,10,0,12,0,0,0,0,0,0,0,237,0,2,3,0,12,0,2,15
V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0
W,1,4,15,4,4,0,8,0,2,0,1,0,14,0,0,0,0,0,0,0,23,0,220,7,3,6,0,0,20
X,3,0,4,9,8,0,0,0,4,0,8,0,2,0,0,0,2,0,0,0,1,0,0,253,0,1,0,8,10
Y,0,1,3,8,29,1,2,0,0,0,1,0,3,5,0,0,2,0,0,0,18,8,12,5,186,0,0,3,2
Z,1,0,6,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,11,0,0,1,0,280,7,0,0
SCH,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,42,223,0,0
CH,1,2,0,0,26,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,256,6
NOTHING,5,2,3,6,32,1,0,1,2,0,0,1,7,0,0,0,0,0,6,0,11,0,1,2,0,2,0,28,194
