,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,266,0,0,0,2,10,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,1
B,0,286,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0
C,0,0,267,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1
D,0,0,1,270,0,0,0,0,0,0,0,0,0,0,1,8,8,2,0,0,3,0,3,0,0,0,0,1,7
E,0,0,0,0,287,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
F,0,0,0,1,8,262,1,6,2,1,5,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0
G,0,0,0,0,0,0,290,0,0,0,0,0,2,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0
H,0,0,0,0,0,0,0,304,0,0,2,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0
I,0,0,0,0,3,0,1,0,278,0,1,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,2,0,0
J,0,0,0,0,0,0,0,0,0,270,0,0,0,0,2,3,3,0,4,0,0,0,0,4,0,0,0,0,5
K,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
L,0,0,0,1,0,0,0,3,0,0,3,250,0,0,0,0,4,1,4,0,15,0,0,0,0,0,0,0,6
M,0,0,0,0,0,0,3,0,0,0,0,0,259,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1
N,0,0,0,0,1,0,1,0,0,7,1,6,0,274,6,3,0,0,9,0,0,0,0,0,0,0,0,0,0
O,0,0,0,0,0,0,0,0,0,0,0,3,0,3,275,15,0,0,0,0,0,0,0,0,1,0,0,0,0
P,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,322,0,2,0,0,0,0,0,0,0,0,0,0,0
Q,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,285,3,28,0,6,0,0,0,0,0,0,0,0
R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,309,0,0,0,0,0,0,0,0,0,0,0
S,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,294,0,1,0,0,0,0,0,0,0,0
T,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,19,0,31,0,244,0,0,0,0,0,0,0,1,0
U,0,0,0,0,0,0,7,0,0,0,1,0,7,0,1,0,0,0,2,0,285,0,0,0,0,0,0,0,0
V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0
W,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,323,0,0,0,0,0,0
X,0,0,0,2,0,5,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,298,0,0,0,0,0
Y,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,268,0,0,0,7
Z,0,0,0,1,0,0,1,0,1,0,0,0,7,0,0,0,0,0,6,0,0,0,2,0,0,296,0,0,0
SCH,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8,263,0,0
CH,0,0,0,0,0,0,0,1,0,5,11,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,266,3
NOTHING,0,0,0,0,0,0,2,1,0,1,2,0,0,0,0,0,0,0,8,0,5,0,0,0,0,2,0,6,277
