,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,242,0,0,0,0,1,3,1,0,0,5,13,0,0,0,0,0,0,0,0,1,0,6,17,6,0,0,1,1
B,26,220,0,0,0,0,1,0,0,1,1,6,4,2,2,0,0,9,0,0,0,0,0,8,13,0,0,0,0
C,0,0,270,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0
D,0,0,17,249,0,0,0,1,0,0,0,1,0,0,0,1,13,3,0,0,3,0,1,0,0,3,0,2,7
E,0,0,0,0,272,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
F,0,0,1,0,1,275,3,3,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,295,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,4,0,0,0,0,0,0
H,0,0,0,0,0,0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
I,0,0,0,0,0,0,0,0,287,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
J,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,4,0,4,0,0,0,2,4,0,0,0,0,0
K,0,0,0,0,0,0,9,4,1,0,244,0,0,0,0,0,12,0,0,0,2,0,0,5,0,0,0,0,0
L,0,0,0,0,0,0,0,2,0,0,6,257,0,0,0,0,3,1,3,0,13,0,0,0,0,0,0,1,2
M,0,0,3,0,0,0,37,0,0,3,0,0,181,0,0,0,2,0,1,0,7,0,31,0,3,0,0,0,0
N,0,0,0,0,0,0,0,0,0,6,1,8,0,264,17,0,2,0,8,0,1,0,0,0,0,0,0,0,0
O,0,0,0,0,0,0,0,0,0,1,0,5,0,5,252,30,4,0,0,0,0,0,0,0,1,0,0,0,0
P,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,310,0,4,0,0,0,0,0,0,1,0,0,3,0
Q,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,298,0,12,0,7,0,0,0,0,0,0,0,0
R,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,303,0,0,0,0,2,0,0,0,0,0,0
S,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,290,0,6,0,0,0,0,0,0,0,0
T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15,0,278,0,0,0,0,0,0,0,0,0
U,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,299,0,0,0,0,0,0,0,0
V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0
W,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,0,1,0,0,0,0
X,0,0,0,0,0,3,3,1,2,0,0,3,0,1,0,0,2,0,0,0,0,0,11,287,0,0,0,0,1
Y,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,283,0,0,0,0
Z,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,302,4,0,0
SCH,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,265,0,0
CH,0,0,4,0,0,0,2,0,0,5,0,0,0,0,0,0,6,1,0,0,2,0,1,0,4,0,0,270,2
NOTHING,0,0,1,0,2,0,7,1,1,7,6,3,0,0,0,0,0,5,14,0,6,0,9,0,6,0,0,13,224
