,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,278,0,0,0,0,0,0,0,0,0,1,4,0,3,0,0,0,0,0,0,4,0,0,4,0,0,0,3,0
B,25,252,0,0,0,0,0,0,0,1,0,1,4,4,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
C,0,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
D,0,0,3,268,0,0,0,0,0,0,0,1,0,2,0,1,16,0,0,0,7,0,0,0,0,0,0,1,5
E,0,0,0,0,285,7,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
F,0,0,0,0,0,278,0,0,3,0,0,0,0,5,0,0,0,1,3,0,2,0,0,0,0,1,0,0,0
G,0,0,0,0,0,0,204,0,0,2,0,0,0,0,0,0,13,0,10,0,55,0,18,0,0,0,0,0,0
H,0,0,0,0,0,0,0,279,0,0,0,1,0,0,0,0,8,0,12,0,11,0,0,0,0,0,0,0,0
I,0,0,3,0,0,0,0,0,281,0,0,0,0,0,0,0,1,1,3,0,1,0,0,0,2,0,0,0,0
J,0,0,2,0,0,0,0,0,0,257,0,0,0,4,1,1,11,0,6,0,3,0,0,0,0,0,0,1,3
K,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,27,0,4,0,15,0,0,2,0,0,0,3,0
L,0,0,0,1,0,0,0,0,0,0,2,232,0,0,0,0,13,2,11,0,24,0,0,0,0,0,0,0,2
M,0,0,0,5,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,14,0,10,0,0,0,0,0,0
N,0,0,0,0,0,0,0,0,0,0,0,0,0,305,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
O,0,0,0,0,0,0,0,0,0,0,0,0,0,7,269,6,4,0,11,0,0,0,0,0,1,0,0,0,0
P,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,303,5,2,0,0,0,0,0,0,0,0,0,0,0
Q,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,295,0,18,0,8,1,0,0,0,0,0,0,0
R,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,3,0,2,0,0,0,0,0,0,0,0
S,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,297,0,0,0,0,0,0,0,0,0,0
T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,13,0,266,0,0,0,0,0,0,0,1,0
U,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0
V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0
W,0,1,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,20,0,283,0,7,0,0,0,0
X,0,0,0,2,0,4,0,0,0,0,0,2,0,2,4,0,7,0,0,0,0,0,1,291,0,0,0,0,0
Y,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,7,0,0,0,268,0,0,1,3
Z,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,2,0,0,299,2,0,0
SCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,260,0,0
CH,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,284,0
NOTHING,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,10,0,21,0,0,0,3,0,0,3,258
