,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,252,0,0,0,0,5,0,1,0,0,7,2,0,3,0,0,0,0,0,0,2,0,0,23,0,0,0,2,0
B,4,282,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
C,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3
D,0,0,0,273,0,0,0,0,0,0,0,2,0,0,0,1,14,0,0,0,9,0,2,0,0,0,0,0,3
E,0,0,0,0,272,14,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
F,0,0,0,1,0,290,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,3,0,1,0,28,0,17,0,0,0,0,0,0
H,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
I,0,0,0,0,0,0,0,0,290,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
J,0,0,0,0,0,0,0,0,0,237,0,1,0,4,0,3,31,0,5,0,2,0,1,2,0,0,0,4,1
K,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,14,0,2,0,6,0,0,2,0,0,0,1,0
L,0,0,0,0,0,0,0,0,0,0,5,258,0,0,0,0,7,0,4,0,13,0,0,0,0,0,0,1,0
M,0,0,1,3,0,0,2,0,0,0,0,0,223,0,0,0,0,0,0,0,23,0,15,0,0,0,0,0,1
N,0,0,0,0,0,0,0,0,0,0,0,2,0,301,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0
O,0,0,0,0,0,0,0,0,0,0,0,3,0,6,278,3,2,0,0,0,0,0,0,0,0,0,0,3,0
P,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,303,2,1,0,6,0,0,0,0,0,0,0,3,0
Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,0,10,0,6,0,0,0,0,0,0,0,0
R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,308,0,0,0,0,0,0,0,0,0,0,0
S,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,283,0,10,0,0,0,0,0,0,0,0
T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,293,0,0,0,0,0,0,0,1,0
U,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0,0,0,0,0,0,0
V,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,14,279,0,0,0,0,0,0,0
W,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,323,0,0,0,0,0,0
X,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,300,0,0,0,0,0
Y,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,8,0,0,0,15,0,0,0,251,0,0,1,10
Z,0,0,0,0,0,1,0,0,5,0,0,0,7,0,0,0,0,0,1,0,2,0,6,0,0,288,5,0,0
SCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0
CH,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,290,2
NOTHING,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,8,0,13,0,2,1,0,0,0,5,268
