,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,11,0,0,0,0,0,0,0,0,0,0,21,0,9,0,3,0,0,0,186,0,0,0,0,0,70,0,0,0
B,0,41,0,0,0,21,0,0,45,0,0,1,1,0,0,0,0,25,0,12,3,49,0,5,37,0,60,0,0
C,0,0,259,2,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20
D,0,0,134,44,11,26,0,0,0,4,0,0,0,0,0,0,0,35,0,0,1,0,0,0,0,0,0,45,0
E,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,80,0,0,0
F,0,149,0,0,0,148,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,5,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,12,1,89,0,3,0,0,81,0,0,0,17
H,0,0,0,0,5,0,10,141,0,0,0,0,0,0,4,19,6,0,0,0,0,15,0,0,89,0,0,11,0
I,0,0,0,0,0,0,0,0,28,0,0,19,0,0,0,0,22,10,0,0,0,0,0,0,221,0,0,0,0
J,0,0,0,0,0,0,0,0,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,176,0,0,0
K,0,0,4,0,0,0,0,0,0,0,113,77,0,0,0,0,0,0,0,0,0,0,0,0,98,8,0,0,0
L,0,0,0,0,0,0,0,0,14,0,0,103,0,0,0,0,0,0,0,0,41,0,0,0,33,103,6,0,0
M,0,0,0,0,0,0,0,0,95,2,0,0,67,9,0,0,0,1,0,0,0,27,0,0,95,4,0,0,0
N,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,6,0,0,90,0,0,0,0,0,0,0,0,0
O,0,0,0,0,4,0,0,0,0,0,0,0,0,25,57,0,0,0,2,46,0,20,0,4,98,10,0,4,30
P,0,0,0,0,0,0,0,2,0,0,0,110,0,0,0,166,0,0,0,0,0,0,0,0,0,0,22,0,0
Q,0,0,0,0,0,11,0,30,0,0,0,2,0,0,0,0,103,0,0,0,5,33,0,49,0,67,0,0,0
R,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,20,0,0,173,20,28,0,18,37,0,0,0
S,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,7,0,0,122,41,0,0,0,46,0,0,0,70,0
T,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,60,150,0,0,0,4,0,0,0,50,31
U,0,61,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,29,0,0,73,15,0,9,0,0,0,3,66
V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,146,80,0,21,0,0,0,0
W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,292,0,0,0,0,0,0
X,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,54,0,0,0,0,0,182,40,0,0,0,0
Y,0,0,0,0,0,0,0,0,23,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,264,0,0,0,0
Z,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,3,5,0,0,3,82,8,11,8,119,0,52,0
SCH,0,11,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,0,0
CH,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,247,0
NOTHING,0,0,0,0,0,0,0,3,4,28,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,0,0,246
