,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,18,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,190,0,0,0,0,0,80,0,0,0
B,0,34,0,0,0,14,0,0,1,0,0,0,0,0,0,0,1,38,0,0,4,76,15,0,68,0,49,0,0
C,0,0,230,15,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,8
D,0,0,157,55,12,7,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,37,0
E,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,88,0,0,0
F,0,155,0,0,0,142,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,7,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,4,4,0,92,10,1,0,2,61,13,0,4,2
H,0,0,0,0,2,0,4,212,0,0,0,0,0,0,2,3,31,0,0,0,0,4,0,0,14,0,0,28,0
I,0,0,0,0,0,0,0,0,20,0,0,19,0,0,0,0,25,18,0,0,0,0,0,0,209,9,0,0,0
J,0,0,0,0,0,0,0,1,26,11,0,0,0,0,0,0,0,0,0,12,0,0,0,0,76,174,0,0,0
K,0,0,0,0,0,0,0,0,0,0,158,38,0,0,0,0,0,1,0,0,0,0,0,0,84,12,0,7,0
L,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,26,0,4,0,10,209,13,0,0
M,0,0,0,0,0,0,0,0,44,21,0,0,47,8,0,0,0,21,0,0,4,7,0,7,126,15,0,0,0
N,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,7,0,0,101,0,0,0,0,0,0,0,0,0
O,0,0,0,45,3,0,0,0,2,0,0,0,0,0,39,0,0,0,0,42,0,0,0,0,95,3,0,44,27
P,0,0,0,0,0,0,0,4,0,0,0,91,0,0,0,133,51,0,0,0,0,9,0,0,9,0,3,0,0
Q,0,0,0,0,0,15,0,35,0,0,0,7,0,0,0,0,105,0,0,0,3,60,0,22,0,53,0,0,0
R,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,24,0,0,153,24,43,0,12,35,0,0,0
S,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,73,54,0,0,0,97,0,0,0,75,0
T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,145,0,0,0,21,0,0,0,62,22
U,0,2,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,19,0,0,68,18,16,1,0,0,0,12,147
V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,146,68,0,31,1,0,0,0
W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,285,0,0,0,0,0,0
X,0,0,0,0,7,0,0,0,0,17,0,0,0,0,0,0,0,67,3,0,0,5,0,169,31,1,0,0,0
Y,0,0,0,0,0,0,0,0,19,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0
Z,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,16,17,0,120,0,11,0
SCH,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,206,0,0
CH,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,48,0,0,0,233,0
NOTHING,0,0,0,0,0,0,0,12,0,27,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8,8,0,0,236
