,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,10,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,226,0,0,0,0,0,54,0,0,0
B,0,75,0,0,0,14,0,0,43,0,0,0,9,0,0,0,0,1,0,8,0,47,2,2,30,0,69,0,0
C,0,0,220,11,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,6
D,0,0,157,48,10,27,0,0,0,3,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,37,0
E,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,101,0,0,0
F,0,150,0,0,0,104,0,0,44,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
G,3,0,0,0,0,0,74,0,0,0,0,0,0,0,0,6,0,2,17,130,0,0,0,0,33,2,0,25,8
H,0,0,0,0,0,0,0,172,0,0,0,0,0,0,4,16,8,18,0,12,0,0,0,0,45,0,0,25,0
I,0,0,0,0,0,0,0,0,41,0,0,11,0,0,0,0,20,0,0,0,0,0,0,0,209,19,0,0,0
J,0,0,0,0,0,0,0,0,30,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,89,169,0,0,0
K,0,2,0,0,0,0,0,0,3,4,132,59,0,0,0,0,0,14,0,0,0,0,0,0,80,1,0,5,0
L,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,5,0,0,0,12,145,0,0,0
M,0,0,0,0,0,0,0,1,38,7,0,0,100,4,0,0,0,0,0,0,1,0,0,16,90,41,0,2,0
N,0,0,0,0,0,0,0,0,0,0,0,0,11,125,0,0,20,0,0,144,0,0,0,0,0,0,0,0,0
O,0,0,0,0,0,0,0,0,12,0,0,0,0,1,70,0,0,0,9,97,0,0,0,0,53,0,0,58,0
P,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0
Q,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,32,0,105,0,64,0,0,0
R,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,28,1,5,111,11,69,9,39,19,0,0,0
S,4,0,0,0,0,0,0,8,0,0,0,0,0,18,0,0,0,0,151,67,0,0,0,12,0,0,0,40,0
T,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,67,160,0,0,0,0,0,22,0,11,27
U,0,60,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,22,0,1,78,0,0,0,0,24,0,0,47
V,0,0,0,0,0,19,0,0,0,15,0,0,0,0,0,0,0,0,0,19,0,146,55,0,31,15,0,0,0
W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,296,0,0,0,0,0,0
X,0,0,0,0,11,0,0,0,0,16,0,0,0,0,0,0,0,83,18,0,0,0,0,149,18,5,0,0,0
Y,0,0,0,0,0,0,0,0,20,0,0,0,28,0,0,0,0,0,2,0,0,0,0,0,250,0,0,0,0
Z,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,5,8,0,0,0,78,0,0,0,191,0,10,0
SCH,0,24,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0
CH,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,21,0,0,0,223,0
NOTHING,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,284
