,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,16,0,0,0,11,0,0,0,2,25,0,6,0,0,6,4,0,0,0,182,0,2,0,1,0,45,0,0,0
B,0,26,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,23,0,97,0,0
C,0,0,178,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,28
D,0,0,65,31,5,79,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,57,41,0
E,0,0,0,0,195,0,0,0,20,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,30,37,0,8,0
F,0,142,0,0,0,154,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,92,0,0,44,0,0,0,0,0,0,0,0,0,0,0,10,0,0,117,4,0,33,0
H,1,0,0,0,4,0,9,13,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,211,0,0,60,0
I,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,211,6,0,0,0
J,0,0,0,0,0,0,0,0,59,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,112,0,0,0
K,0,0,0,0,0,0,0,0,13,11,53,87,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0
L,0,0,0,0,0,0,0,0,15,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,97,146,21,0,0
M,0,0,0,0,0,0,0,0,66,15,0,0,131,0,0,0,0,0,0,0,0,19,0,0,56,13,0,0,0
N,0,0,0,0,0,0,0,0,0,10,0,0,16,168,30,0,18,0,0,41,0,0,0,0,0,0,17,0,0
O,0,0,0,0,3,0,2,0,3,17,0,0,0,0,67,0,0,0,5,0,0,0,0,0,171,0,0,32,0
P,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,112,0,0,0,0,0,1,0,0,0,0,0,0,0
Q,0,0,0,0,0,0,0,3,0,0,0,90,0,0,0,0,86,0,0,0,0,68,0,2,0,51,0,0,0
R,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,20,0,0,40,135,51,0,31,5,0,3,5
S,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,261,0,0,0,0,0,0,0,0,22,0
T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,24,0,0,0,51,0,0,0,38,17
U,0,177,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44,48,10,0,0,16,2,0,0
V,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,160,95,0,23,0,0,0,0
W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,298,0,0,0,0,0,0
X,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,31,81,0,0,16,0,162,0,3,0,0,0
Y,0,0,0,0,22,0,0,0,18,0,0,0,2,0,0,0,0,0,11,0,0,0,0,0,247,0,0,0,0
Z,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,144,1,0,4,141,0,9,0
SCH,0,25,0,0,0,5,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0
CH,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,23,0,0,0,166,0
NOTHING,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,282
