,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,SCH,CH,NOTHING
A,10,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,242,0,0,0,0,0,40,0,0,0
B,0,57,0,0,0,16,0,0,9,0,0,0,0,0,0,0,0,62,0,2,0,42,0,0,46,0,66,0,0
C,0,0,268,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13
D,0,0,198,45,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,5,0,0,34,0
E,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,75,0,0,0
F,0,153,0,0,0,138,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,7,0,0,0,0,0,78,0,0,0,0,0,0,0,0,12,0,22,0,44,0,3,0,42,80,7,0,0,5
H,5,0,0,0,0,0,0,161,0,0,0,0,0,0,1,17,0,0,0,0,0,26,0,0,76,0,0,14,0
I,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,16,21,0,0,0,0,0,0,209,23,0,0,0
J,0,0,0,0,0,0,0,0,25,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,171,0,0,0
K,0,0,0,0,0,0,0,0,2,12,84,34,0,0,0,0,0,0,0,0,0,0,0,0,155,12,0,1,0
L,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,40,0,0,0,20,226,0,0,0
M,0,0,0,0,0,0,0,0,28,0,0,0,134,4,0,0,0,0,0,0,0,0,0,13,70,51,0,0,0
N,0,0,0,0,0,0,0,0,0,0,0,0,7,164,0,0,19,0,0,110,0,0,0,0,0,0,0,0,0
O,0,0,0,6,0,0,0,0,0,0,0,0,0,0,69,0,0,0,7,66,0,6,0,19,113,14,0,0,0
P,0,0,0,0,0,0,0,5,0,0,0,95,0,0,0,193,7,0,0,0,0,0,0,0,0,0,0,0,0
Q,0,0,0,0,0,10,0,14,0,0,0,2,0,0,0,0,108,0,0,0,3,52,0,46,0,65,0,0,0
R,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,78,0,0,106,25,27,0,31,29,0,0,0
S,0,0,0,0,0,0,0,0,0,0,0,0,29,24,0,0,0,0,172,29,0,0,0,35,0,0,0,11,0
T,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,67,152,0,0,0,7,0,0,0,0,18
U,0,67,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,13,0,3,109,0,0,0,0,15,6,0,40
V,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,38,0,149,53,0,32,16,0,0,0
W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,299,0,0,0,0,0,0
X,0,0,0,0,2,0,0,0,0,11,0,0,0,0,0,0,0,60,48,0,0,0,0,166,7,6,0,0,0
Y,0,0,0,0,0,0,0,0,20,0,0,0,17,0,0,0,0,0,3,0,0,0,0,0,260,0,0,0,0
Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,99,0,1,0,189,0,6,0
SCH,0,19,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,0
CH,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,53,0,0,0,188,0
NOTHING,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,279
